refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0,0,1,7590,cluster11,cluster11
0,0,1,7580,cluster11,cluster11
0.049566,5,1,8160,cluster11,cluster11
0,0,1,7570,cluster11,cluster11
0.279817,0,0,7060,cluster11,cluster11
0,0,1,7560,cluster11,cluster11
0.065049,5,1,8150,cluster11,cluster11
0,0,1,7550,cluster11,cluster11
0.281901,0,0,7050,cluster11,cluster11
0,0,1,7540,cluster11,cluster11
0.040601,5,1,8140,cluster11,cluster11
0,0,1,7530,cluster11,cluster11
0,0,1,7520,cluster11,cluster11
0,0,1,7510,cluster11,cluster11
0.289717,0,0,7030,cluster11,cluster11
0.106246,4,1,11100,cluster11,cluster11
0.041099,5,1,8120,cluster11,cluster11
0.26795,0,0,7020,cluster11,cluster11
0.187023,5,1,8070,cluster11,cluster11
0.113639,5,1,8060,cluster11,cluster11
0.010883,5,1,23210,cluster11,cluster11
0.230658,5,1,8020,cluster11,cluster11
0.041767,6,0,2300,cluster11,cluster11
0,5,1,1120,cluster11,cluster11
0.188751,0,0,7290,cluster11,cluster11
0.054349,6,0,2290,cluster11,cluster11
0.156456,4,1,8260,cluster11,cluster11
0.014416,5,1,22180,cluster11,cluster11
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.34919,3,1,5360,cluster11,cluster7
0.185968,0,0,7280,cluster11,cluster11
0.038684,6,0,2280,cluster11,cluster11
0,0,0,18030,cluster11,cluster11
0.008583,5,1,22170,cluster11,cluster11
0.376129,3,1,5350,cluster11,cluster7
0.376129,3,1,5350,cluster11,cluster7
0.376129,3,1,5350,cluster11,cluster7
0.376129,3,1,5350,cluster11,cluster7
0.376129,3,1,5350,cluster11,cluster7
0.376129,3,1,5350,cluster11,cluster7
