refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0,4,1,6500,cluster11,cluster11
0,4,1,6490,cluster11,cluster11
0,4,1,6480,cluster11,cluster11
0,4,1,6470,cluster11,cluster11
0,4,1,6460,cluster11,cluster11
0,4,1,6450,cluster11,cluster11
0,4,1,6440,cluster11,cluster11
0,4,1,6430,cluster11,cluster11
0,4,1,6420,cluster11,cluster11
0,4,1,6410,cluster11,cluster11
0,6,0,12500,cluster11,cluster11
0,6,0,12490,cluster11,cluster11
0,6,0,12480,cluster11,cluster11
0,6,0,12470,cluster11,cluster11
0,6,0,12460,cluster11,cluster11
0,6,0,12450,cluster11,cluster11
0,6,0,12440,cluster11,cluster11
0,6,0,12430,cluster11,cluster11
0,6,0,12420,cluster11,cluster11
0,6,0,12410,cluster11,cluster11
0.7834,5,1,11500,cluster11,cluster11
0.959299,5,1,11490,cluster11,cluster7
1.0284,5,1,11440,cluster11,cluster7
1.0436,5,1,11430,cluster11,cluster7
1.02693,5,1,11420,cluster11,cluster7
1.01528,5,1,11410,cluster11,cluster7
0.1307,4,1,7400,cluster11,cluster11
0.164066,4,1,7390,cluster11,cluster11
0.141766,4,1,7380,cluster11,cluster11
0.095917,4,1,7370,cluster11,cluster11
0.097466,4,1,7360,cluster11,cluster11
0.097683,4,1,7350,cluster11,cluster11
0.097634,4,1,7340,cluster11,cluster11
0.093333,4,1,7330,cluster11,cluster11
0,4,1,7320,cluster11,cluster11
0,4,1,7310,cluster11,cluster11
0,4,1,6400,cluster11,cluster11
0,4,1,6390,cluster11,cluster11
0,4,1,6380,cluster11,cluster11
0,4,1,6370,cluster11,cluster11
0,4,1,6360,cluster11,cluster11
0,4,1,6350,cluster11,cluster11
0,4,1,6340,cluster11,cluster11
0,4,1,6330,cluster11,cluster11
0,4,1,6320,cluster11,cluster11
0.03475,4,1,6310,cluster11,cluster11
0,6,0,12400,cluster11,cluster11
0,6,0,12390,cluster11,cluster11
0,6,0,12380,cluster11,cluster11
0,6,0,12370,cluster11,cluster11
0,6,0,12360,cluster11,cluster11
0,6,0,12350,cluster11,cluster11
0,6,0,12340,cluster11,cluster11
0,6,0,12330,cluster11,cluster11
0,6,0,12320,cluster11,cluster11
0,6,0,12310,cluster11,cluster11
1.01983,5,1,11400,cluster11,cluster7
1.07805,5,1,11390,cluster11,cluster7
1.05267,5,1,11380,cluster11,cluster7
1.04143,5,1,11370,cluster11,cluster7
1.08048,5,1,11330,cluster11,cluster7
0.947484,5,1,11320,cluster11,cluster7
0.7825,5,1,11310,cluster11,cluster7
0,4,1,7300,cluster11,cluster11
0,4,1,7290,cluster11,cluster11
0,4,1,7280,cluster11,cluster11
0,4,1,7270,cluster11,cluster11
0,4,1,7260,cluster11,cluster11
0,4,1,7250,cluster11,cluster11
0,4,1,7240,cluster11,cluster11
0,4,1,7230,cluster11,cluster11
0,4,1,7220,cluster11,cluster11
0,4,1,7210,cluster11,cluster11
0.049684,4,1,6300,cluster11,cluster11
0.020101,4,1,6290,cluster11,cluster11
0.027149,4,1,6280,cluster11,cluster11
0.031583,4,1,6270,cluster11,cluster11
0.038417,4,1,6260,cluster11,cluster11
0.039767,4,1,6250,cluster11,cluster11
0.03795,4,1,6240,cluster11,cluster11
0.039932,4,1,6230,cluster11,cluster11
0.045435,4,1,6220,cluster11,cluster11
0.018834,4,1,6210,cluster11,cluster11
0,6,0,12300,cluster11,cluster11
0,6,0,12290,cluster11,cluster11
0,6,0,12280,cluster11,cluster11
0,6,0,12270,cluster11,cluster11
0,6,0,12260,cluster11,cluster11
0,6,0,12250,cluster11,cluster11
0,6,0,12240,cluster11,cluster11
0,6,0,12230,cluster11,cluster11
0,6,0,12220,cluster11,cluster11
0,6,0,12210,cluster11,cluster11
0.650333,5,1,11300,cluster11,cluster7
0.427517,5,1,11290,cluster11,cluster7
0.950666,5,1,11280,cluster11,cluster7
0.5491,5,1,11250,cluster11,cluster7
0.422933,5,1,11240,cluster11,cluster7
0.417166,5,1,11230,cluster11,cluster7
0.864266,5,1,11220,cluster11,cluster7
0,6,0,8300,cluster11,cluster7
0,6,0,8290,cluster11,cluster7
0,6,0,8280,cluster11,cluster7
0.234851,4,1,10200,cluster15,cluster11
0.23943,4,1,10190,cluster11,cluster11
0.034016,6,0,8230,cluster11,cluster7
0.218721,4,1,10180,cluster11,cluster11
0,6,0,8220,cluster11,cluster7
0.216697,4,1,10170,cluster11,cluster11
0.224231,4,1,10160,cluster11,cluster11
0.215913,4,1,10150,cluster11,cluster11
0.250533,4,1,10140,cluster11,cluster11
0.292567,4,1,10130,cluster11,cluster11
0.204303,4,1,10120,cluster11,cluster11
0,4,1,7200,cluster11,cluster11
0.293901,4,1,10110,cluster11,cluster11
0,4,1,7190,cluster11,cluster11
0,4,1,7180,cluster11,cluster11
0,4,1,7170,cluster11,cluster11
0,4,1,7160,cluster11,cluster11
0,4,1,7150,cluster11,cluster11
0,4,1,7140,cluster11,cluster11
0,4,1,7130,cluster11,cluster11
0,4,1,7120,cluster11,cluster11
0.018098,4,1,7110,cluster11,cluster11
0.0214,4,1,6200,cluster11,cluster11
0.0231,4,1,6190,cluster11,cluster11
0.109034,4,1,6180,cluster11,cluster11
0.099066,4,1,6170,cluster11,cluster11
0.116917,4,1,6160,cluster11,cluster11
0.107566,4,1,6150,cluster11,cluster11
0.107166,4,1,6140,cluster11,cluster11
0.109766,4,1,6130,cluster11,cluster11
0.111416,4,1,6120,cluster11,cluster11
0.095232,4,1,6110,cluster11,cluster11
1.04099,5,1,11190,cluster11,cluster7
1.02195,5,1,11180,cluster11,cluster7
0.680117,5,1,11170,cluster11,cluster7
0.337367,5,1,11160,cluster11,cluster7
0.263349,5,1,11150,cluster11,cluster7
0.188167,5,1,11140,cluster11,cluster7
0.564167,5,1,11130,cluster11,cluster7
0.312533,5,1,11110,cluster11,cluster7
0,6,0,8210,cluster11,cluster7
0,6,0,8200,cluster11,cluster7
0.005497,6,0,8190,cluster11,cluster7
0.108856,6,0,8180,cluster11,cluster7
0.182343,6,0,8160,cluster11,cluster7
0.172986,6,0,8150,cluster11,cluster7
0.294766,4,1,10100,cluster11,cluster11
0.295516,4,1,10090,cluster11,cluster11
0.093014,4,1,10080,cluster11,cluster11
0.2342,6,0,8120,cluster11,cluster7
0,4,1,10070,cluster11,cluster11
0,4,1,10060,cluster11,cluster11
0,4,1,10050,cluster11,cluster11
0,4,1,10040,cluster11,cluster11
0,4,1,10030,cluster11,cluster11
0,4,1,10020,cluster11,cluster11
0.025466,4,1,7100,cluster11,cluster11
0,4,1,10010,cluster11,cluster11
0.043383,4,1,7090,cluster11,cluster11
0.036883,4,1,7080,cluster11,cluster11
0.039684,4,1,7070,cluster11,cluster11
0.02255,4,1,7060,cluster11,cluster11
0.041467,4,1,7050,cluster11,cluster11
0.041716,4,1,7040,cluster11,cluster11
0.0264,4,1,7030,cluster11,cluster11
0.025634,4,1,7020,cluster11,cluster11
0.036683,4,1,7010,cluster11,cluster11
0.101917,4,1,6100,cluster11,cluster11
0.111533,4,1,6090,cluster11,cluster11
0.098033,4,1,6080,cluster11,cluster11
0.104433,4,1,6070,cluster11,cluster11
0.101351,4,1,6060,cluster11,cluster11
0.110267,4,1,6050,cluster11,cluster11
0.11855,4,1,6040,cluster11,cluster11
0.1252,4,1,6030,cluster11,cluster11
0.106817,4,1,6020,cluster11,cluster11
0.13865,4,1,6010,cluster11,cluster11
0.279287,6,0,210,cluster11,cluster11
0.238707,6,0,200,cluster11,cluster11
0.056249,6,0,190,cluster11,cluster11
0.076168,6,0,180,cluster11,cluster11
0.192297,6,0,170,cluster11,cluster11
0.458199,6,0,160,cluster15,cluster11
0,6,0,150,cluster11,cluster11
0.122712,6,0,140,cluster11,cluster11
0.326267,5,1,11100,cluster11,cluster7
0.329616,5,1,11090,cluster11,cluster7
0.344917,5,1,11080,cluster11,cluster7
0.33635,5,1,11070,cluster11,cluster7
0.35065,5,1,11060,cluster11,cluster7
0.369568,5,1,11050,cluster11,cluster7
0.364983,5,1,11040,cluster11,cluster7
0.335034,5,1,11030,cluster11,cluster7
0.344983,5,1,11020,cluster11,cluster7
0.311317,5,1,11010,cluster11,cluster7
0.161303,6,0,8090,cluster11,cluster7
0.173683,6,0,8080,cluster11,cluster7
0.028786,6,0,8060,cluster11,cluster7
0.213393,6,0,8030,cluster11,cluster7
0.205157,6,0,8020,cluster11,cluster7
0,0,0,8580,cluster11,cluster11
0,0,0,8570,cluster11,cluster11
0.181057,0,0,8560,cluster11,cluster11
0.140986,0,0,8540,cluster11,cluster11
0,0,0,8530,cluster11,cluster11
0,0,0,8520,cluster11,cluster11
0.492757,6,0,110,cluster15,cluster11
0.334118,5,1,11000,cluster11,cluster7
0.31025,5,1,10590,cluster11,cluster7
0.33575,5,1,10580,cluster11,cluster7
0.326184,5,1,10570,cluster11,cluster7
0.353149,5,1,10560,cluster11,cluster7
0.328,5,1,10550,cluster11,cluster7
0.330301,5,1,10540,cluster11,cluster7
0.342767,5,1,10530,cluster11,cluster7
0.33095,5,1,10520,cluster11,cluster7
0.382334,5,1,10510,cluster11,cluster7
0.214803,6,0,8010,cluster11,cluster7
0.22174,6,0,8000,cluster11,cluster7
0.107068,6,0,7580,cluster11,cluster11
0,6,0,7570,cluster11,cluster11
0,6,0,7560,cluster11,cluster11
0,6,0,7550,cluster11,cluster11
0,6,0,7540,cluster11,cluster11
0,6,0,7530,cluster11,cluster11
0.027033,6,0,7520,cluster11,cluster11
0,4,1,19010,cluster11,cluster11
0.043003,4,1,19000,cluster11,cluster11
0.020503,4,1,18590,cluster11,cluster11
0.028767,4,1,18580,cluster11,cluster11
0,4,1,18570,cluster11,cluster11
0,4,1,18560,cluster11,cluster11
0,4,1,18550,cluster11,cluster11
0,4,1,18540,cluster11,cluster11
0,4,1,18530,cluster11,cluster11
0,4,1,18520,cluster11,cluster11
0,0,0,8510,cluster11,cluster11
0.572034,0,0,8500,cluster7,cluster11
0.504616,0,0,8490,cluster7,cluster11
0.06822,0,0,8480,cluster11,cluster11
0.075668,0,0,8470,cluster11,cluster11
0.1312,0,0,8460,cluster11,cluster11
0.172483,0,0,8450,cluster11,cluster11
0.047654,0,0,8440,cluster11,cluster11
0.136983,0,0,8430,cluster11,cluster11
0.087591,0,0,8420,cluster11,cluster11
0.531434,5,1,10500,cluster11,cluster7
0.537617,5,1,10490,cluster11,cluster7
0.5247,5,1,10480,cluster11,cluster7
0.519883,5,1,10470,cluster11,cluster7
0.516468,5,1,10460,cluster11,cluster7
0.699882,5,1,10450,cluster11,cluster7
0.72145,5,1,10420,cluster11,cluster7
0.915166,5,1,10410,cluster11,cluster7
0,6,0,7500,cluster11,cluster11
0,6,0,7490,cluster11,cluster11
0,6,0,7480,cluster11,cluster11
0.178803,6,0,7460,cluster11,cluster11
0,6,0,7450,cluster11,cluster11
0.086317,6,0,7420,cluster11,cluster11
0,4,1,18510,cluster11,cluster11
0,4,1,18500,cluster11,cluster11
0,4,1,18490,cluster11,cluster11
0,4,1,18480,cluster11,cluster11
0,4,1,18470,cluster11,cluster11
0,4,1,18460,cluster11,cluster11
0,4,1,18450,cluster11,cluster11
0,4,1,18440,cluster11,cluster11
0,4,1,18430,cluster11,cluster11
0.204903,4,1,18420,cluster11,cluster11
0.227103,5,1,14400,cluster11,cluster3
0.059604,0,0,8410,cluster11,cluster11
0.052256,0,0,8400,cluster11,cluster11
0.075396,0,0,8390,cluster11,cluster11
0.070983,0,0,8380,cluster11,cluster11
0.059597,0,0,8370,cluster11,cluster11
0.07663,0,0,8360,cluster11,cluster11
0.008806,0,0,8350,cluster11,cluster11
0.109887,0,0,8340,cluster11,cluster11
0.184907,0,0,8330,cluster11,cluster11
0.092053,0,0,8320,cluster11,cluster11
0.719233,5,1,10350,cluster11,cluster7
0.747,5,1,10340,cluster11,cluster7
0.018093,6,0,7410,cluster11,cluster11
0,6,0,7380,cluster11,cluster11
0.232077,6,0,7370,cluster11,cluster11
0,4,1,18400,cluster11,cluster11
0,4,1,18390,cluster11,cluster11
0,4,1,18380,cluster11,cluster11
0,4,1,18370,cluster11,cluster11
0,4,1,18360,cluster11,cluster11
0,4,1,18350,cluster11,cluster11
0,4,1,18340,cluster11,cluster11
0,4,1,18330,cluster11,cluster11
0.087814,0,0,8310,cluster11,cluster11
0.102336,0,0,8300,cluster11,cluster11
0.0786,0,0,8290,cluster11,cluster11
0.081203,0,0,8280,cluster11,cluster11
0.06214,0,0,8270,cluster11,cluster11
0.105491,0,0,8260,cluster11,cluster11
0.059744,0,0,8250,cluster11,cluster11
0.078587,0,0,8240,cluster11,cluster11
0.051367,0,0,8230,cluster11,cluster11
0.072224,0,0,8220,cluster11,cluster11
1.08385,5,1,10300,cluster11,cluster7
0.499668,5,1,10290,cluster11,cluster7
0.511766,5,1,10280,cluster11,cluster7
0.8542,5,1,10270,cluster11,cluster7
0.625034,5,1,10220,cluster11,cluster7
0.3109,5,1,10210,cluster11,cluster11
0.2123,6,0,7270,cluster11,cluster11
0.213137,6,0,7260,cluster11,cluster11
0,6,0,7250,cluster11,cluster11
0,6,0,7240,cluster11,cluster11
0.04304,6,0,7230,cluster11,cluster11
0.111776,6,0,7220,cluster11,cluster11
0.09175,4,1,18300,cluster11,cluster11
0.139306,4,1,18290,cluster11,cluster11
0.23615,4,1,18280,cluster11,cluster11
0.1068,4,1,18270,cluster11,cluster11
0.113874,4,1,18260,cluster11,cluster11
0.107983,4,1,18250,cluster11,cluster11
0.110006,4,1,18240,cluster11,cluster11
0,4,1,18230,cluster11,cluster11
0,4,1,18220,cluster11,cluster11
0.065634,0,0,8210,cluster11,cluster11
0.094051,0,0,8200,cluster11,cluster11
0.042374,0,0,8190,cluster11,cluster11
0,0,0,8180,cluster11,cluster11
0.035811,0,0,8170,cluster11,cluster11
0.06247,0,0,8160,cluster11,cluster11
0.090066,0,0,8150,cluster11,cluster11
0.136786,0,0,8140,cluster11,cluster11
0.098919,0,0,8130,cluster11,cluster11
0.165987,0,0,8120,cluster11,cluster11
0.109583,6,0,7210,cluster11,cluster11
0.200686,6,0,7200,cluster11,cluster11
0.162177,6,0,7190,cluster11,cluster11
0.170397,6,0,7180,cluster11,cluster11
0.172113,6,0,7170,cluster11,cluster11
0.183266,6,0,7160,cluster11,cluster11
0.177801,6,0,7150,cluster11,cluster11
0.189753,6,0,7140,cluster11,cluster11
0.18055,6,0,7130,cluster11,cluster11
0.193056,6,0,7120,cluster11,cluster11
0,4,1,18210,cluster11,cluster11
0,4,1,18200,cluster11,cluster11
0,4,1,18190,cluster11,cluster11
0,4,1,18180,cluster11,cluster11
0,4,1,18160,cluster11,cluster11
0,4,1,18150,cluster11,cluster3
0,4,1,18140,cluster11,cluster11
0,4,1,18130,cluster11,cluster11
0,4,1,18120,cluster11,cluster11
0.10818,0,0,8110,cluster11,cluster11
0,0,0,8100,cluster11,cluster11
0,0,0,8090,cluster11,cluster11
0.232041,0,0,8070,cluster11,cluster11
0.109256,0,0,8060,cluster11,cluster11
0.16965,0,0,8050,cluster11,cluster11
0.141454,0,0,8040,cluster11,cluster11
0.054134,0,0,8030,cluster11,cluster11
0.078224,0,0,8020,cluster11,cluster11
0.328434,5,1,23210,cluster3,cluster11
0.163673,5,1,23190,cluster11,cluster11
0.161189,5,1,23180,cluster11,cluster11
0.076688,6,0,23200,cluster11,cluster11
0.062299,6,0,23190,cluster11,cluster11
0.115224,6,0,23180,cluster11,cluster11
0.12719,6,0,23170,cluster11,cluster11
0.15887,6,0,23160,cluster3,cluster11
0.189053,6,0,23150,cluster3,cluster11
0,6,0,23140,cluster11,cluster11
0,6,0,23130,cluster11,cluster11
0,6,0,23120,cluster11,cluster11
0.18793,6,0,7110,cluster11,cluster11
0.200349,6,0,7100,cluster11,cluster11
0.198804,6,0,7090,cluster11,cluster11
0.168899,6,0,7080,cluster11,cluster11
0.133384,6,0,7070,cluster11,cluster11
0,6,0,7060,cluster11,cluster11
0,6,0,7050,cluster11,cluster11
0.310974,6,0,7040,cluster11,cluster11
0.77003,6,0,7030,cluster11,cluster11
0.06272,6,0,7020,cluster11,cluster11
0,4,1,18110,cluster11,cluster11
0,4,1,18100,cluster11,cluster11
0,4,1,18090,cluster11,cluster11
0,4,1,18080,cluster11,cluster11
0,4,1,18070,cluster11,cluster11
0,4,1,18060,cluster11,cluster11
0,4,1,18050,cluster11,cluster11
0.002004,4,1,18040,cluster11,cluster11
0,4,1,18030,cluster11,cluster11
0,4,1,18020,cluster11,cluster11
0.07785,0,0,8010,cluster11,cluster11
0.058976,0,0,8000,cluster11,cluster11
0.095286,0,0,7590,cluster11,cluster11
0.079683,0,0,7580,cluster11,cluster11
0.063033,0,0,7570,cluster11,cluster11
0.08164,0,0,7560,cluster11,cluster11
0.10957,0,0,7550,cluster11,cluster11
0.06427,0,0,7540,cluster11,cluster11
0.061943,0,0,7530,cluster11,cluster11
0.072507,0,0,7520,cluster11,cluster11
0.040801,5,1,23110,cluster11,cluster11
0.00824,5,1,23100,cluster11,cluster11
0,5,1,23090,cluster11,cluster11
0.040737,5,1,23030,cluster11,cluster11
0.047165,5,1,23020,cluster11,cluster11
0,6,0,23110,cluster11,cluster11
0,6,0,23100,cluster11,cluster11
0.082937,6,0,23090,cluster11,cluster11
0.03259,6,0,23080,cluster11,cluster11
0,6,0,23070,cluster11,cluster11
0,6,0,23060,cluster11,cluster11
0,6,0,23050,cluster11,cluster11
0,6,0,23040,cluster11,cluster11
0,6,0,23030,cluster11,cluster11
0,6,0,23020,cluster11,cluster11
0,4,1,18010,cluster11,cluster11
0,4,1,18000,cluster11,cluster11
0,4,1,17590,cluster11,cluster11
0,4,1,17580,cluster11,cluster11
0.16711,4,1,17570,cluster11,cluster11
0,4,1,17550,cluster11,cluster11
0,4,1,17540,cluster11,cluster11
0,4,1,17530,cluster11,cluster11
0,4,1,17520,cluster11,cluster11
0.060836,0,0,7510,cluster11,cluster11
0.03797,0,0,7500,cluster11,cluster11
1.02677,0,0,7480,cluster9,cluster11
0.169534,6,0,5200,cluster11,cluster11
0.158782,6,0,5190,cluster11,cluster11
0.152651,6,0,5180,cluster11,cluster11
0.162983,6,0,5170,cluster11,cluster11
0.162684,6,0,5160,cluster11,cluster11
0.161417,6,0,5150,cluster11,cluster11
0.165833,6,0,5140,cluster11,cluster11
0.15335,6,0,5130,cluster11,cluster11
0.155449,6,0,5120,cluster11,cluster11
0.160051,6,0,5110,cluster11,cluster11
0.0488,5,1,23010,cluster11,cluster11
0.045355,5,1,23000,cluster11,cluster11
0.050533,5,1,22590,cluster11,cluster11
0.047417,5,1,22580,cluster11,cluster11
0.044289,5,1,22570,cluster11,cluster11
0.047453,5,1,22560,cluster11,cluster11
0.049352,5,1,22550,cluster11,cluster11
0.050683,5,1,22530,cluster11,cluster11
0,6,0,23010,cluster11,cluster11
0,6,0,23000,cluster11,cluster11
0,6,0,22590,cluster11,cluster11
0,6,0,22580,cluster11,cluster11
0,6,0,22570,cluster11,cluster11
0,6,0,22560,cluster11,cluster11
0,6,0,22550,cluster11,cluster11
0,6,0,22540,cluster11,cluster11
0,4,1,17510,cluster11,cluster11
0,4,1,17500,cluster11,cluster11
0,4,1,17490,cluster11,cluster11
0,4,1,17480,cluster11,cluster11
0,4,1,17470,cluster11,cluster11
0,4,1,17460,cluster11,cluster11
0,4,1,17450,cluster11,cluster11
0,4,1,17440,cluster11,cluster11
0,4,1,17430,cluster11,cluster11
0,4,1,17420,cluster11,cluster11
0.16265,6,0,5100,cluster11,cluster11
0.154866,6,0,5090,cluster11,cluster11
0.164967,6,0,5080,cluster11,cluster11
0.160616,6,0,5070,cluster11,cluster11
0.157616,6,0,5060,cluster11,cluster11
0.168566,6,0,5050,cluster11,cluster11
0.216567,6,0,5040,cluster11,cluster11
0.291799,6,0,5030,cluster11,cluster11
0.29905,6,0,5020,cluster11,cluster11
0.292217,6,0,5010,cluster11,cluster11
0.000837,5,1,22510,cluster11,cluster11
0,5,1,22500,cluster11,cluster11
0.036335,5,1,22490,cluster11,cluster11
0.0379,5,1,22480,cluster11,cluster11
0.039269,5,1,22470,cluster11,cluster11
0.05,5,1,22460,cluster11,cluster11
0.373936,0,0,12320,cluster3,cluster11
0.129257,6,0,22510,cluster11,cluster11
0.054254,6,0,22500,cluster11,cluster11
0.059969,6,0,22490,cluster11,cluster11
0.058357,6,0,22480,cluster11,cluster11
0.058683,6,0,22470,cluster11,cluster11
0.063474,6,0,22460,cluster11,cluster11
0.082637,6,0,22450,cluster11,cluster11
0.061453,6,0,22440,cluster11,cluster11
0.183906,6,0,22430,cluster3,cluster11
0.193651,1,1,2580,cluster11,cluster11
0.100982,1,1,2560,cluster16,cluster11
0,4,1,17410,cluster11,cluster11
0,4,1,17380,cluster11,cluster11
0,4,1,17370,cluster11,cluster11
0,4,1,17360,cluster11,cluster11
0.040249,4,1,17350,cluster11,cluster11
0.097487,4,1,17340,cluster11,cluster11
0,4,1,17330,cluster11,cluster11
