@relation A-6-train-weka.filters.unsupervised.attribute.Remove-R5

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.19542,2,1,9130,cluster6
0,6,0,3170,cluster6
0.144193,6,0,3160,cluster6
0.138353,6,0,3140,cluster6
0.177533,2,1,17220,cluster6
0,0,1,4160,cluster11
0,0,1,4160,cluster11
0,0,1,4160,cluster11
0,0,1,4160,cluster11
0,0,1,4160,cluster11
0.048416,0,0,18310,cluster6
0,0,1,4150,cluster11
0,0,1,4150,cluster11
0,0,1,4150,cluster11
0,0,1,4150,cluster11
0,0,1,4150,cluster11
0,0,1,4140,cluster11
0,0,1,4140,cluster11
0,0,1,4140,cluster11
0,0,1,4140,cluster11
0,0,1,4140,cluster11
1.04883,4,1,23300,cluster6
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.465933,1,1,16040,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.472534,1,1,16030,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
0.469802,1,1,16020,cluster17
