Day,' Time','use [kW]',Cluster
1,235900,3.06022,cluster2
1,235800,2.92567,cluster2
1,235700,2.93335,cluster2
1,235600,2.91262,cluster2
1,235500,2.94078,cluster2
1,235400,2.96678,cluster2
1,235300,2.99145,cluster2
1,235200,3.02233,cluster2
1,235100,2.53127,cluster2
1,235000,1.09568,cluster2
1,234900,1.06925,cluster2
1,234800,1.24102,cluster2
1,234700,1.3794,cluster2
1,234600,1.38442,cluster2
1,234500,1.43045,cluster2
1,234400,1.37098,cluster2
1,234300,1.26462,cluster2
1,234200,1.22775,cluster2
1,234100,1.19418,cluster2
1,234000,1.18333,cluster2
1,233900,1.49972,cluster2
1,233800,1.50213,cluster2
1,233700,1.49587,cluster2
1,233600,1.32553,cluster2
1,233500,1.49817,cluster2
1,233400,1.48743,cluster2
1,233300,1.57653,cluster2
1,233200,1.56287,cluster2
1,233100,1.5472,cluster2
1,233000,1.53985,cluster2
1,232900,1.29343,cluster2
1,232800,1.32092,cluster2
1,232700,1.35308,cluster2
1,232600,1.31615,cluster2
1,232500,1.30208,cluster2
1,232400,1.36908,cluster2
1,232300,1.34357,cluster2
1,232200,1.34827,cluster2
1,232100,1.35758,cluster2
1,232000,1.35262,cluster2
1,231900,1.34203,cluster2
1,231800,1.343,cluster2
1,231700,1.3423,cluster2
1,231600,1.34257,cluster2
1,231500,1.35792,cluster2
1,231400,1.36878,cluster2
1,231300,1.36803,cluster2
1,231200,1.38708,cluster2
1,231100,1.84687,cluster2
1,231000,2.46743,cluster2
1,230900,2.46962,cluster2
1,230800,3.0262,cluster3
1,230700,3.95708,cluster3
1,230600,3.95697,cluster3
1,230500,3.97072,cluster3
1,230400,3.95637,cluster3
1,230300,3.942,cluster3
1,230200,3.91763,cluster3
1,230100,3.94063,cluster3
1,230000,3.87098,cluster3
1,225900,3.5195,cluster3
1,225800,3.5789,cluster3
1,225700,3.59425,cluster3
1,225600,3.58695,cluster3
1,225500,3.59535,cluster3
1,225400,3.60783,cluster3
1,225300,3.6199,cluster3
1,225200,3.64692,cluster3
1,225100,3.68398,cluster3
1,225000,3.61402,cluster3
1,224900,3.21418,cluster3
1,224800,3.19738,cluster3
1,224700,3.19548,cluster3
1,224600,3.2059,cluster3
1,224500,3.21812,cluster3
1,224400,3.2116,cluster3
1,224300,3.2154,cluster3
1,224200,3.21052,cluster3
1,224100,3.46233,cluster3
1,224000,3.60843,cluster3
1,223900,3.55795,cluster3
1,223800,3.54147,cluster3
1,223700,3.49023,cluster3
1,223600,3.47578,cluster3
1,223500,4.8347,cluster21
1,223400,3.63845,cluster3
1,223300,3.4437,cluster3
1,223200,4.04422,cluster7
1,223100,4.69482,cluster21
1,223000,3.15287,cluster3
1,222900,4.82015,cluster20
1,222800,6.65157,cluster22
1,222700,4.78997,cluster21
1,222600,1.65152,cluster2
1,222500,1.8266,cluster2
1,222400,1.43867,cluster2
1,222300,1.43898,cluster2
1,222200,1.44063,cluster2
1,222100,1.40403,cluster2
1,222000,1.32735,cluster2
1,221900,1.32405,cluster2
1,221800,1.31863,cluster2
1,221700,1.31317,cluster2
1,221600,1.3128,cluster2
1,221500,1.31165,cluster2
