@relation week3.train

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
0,235700,0.922483,cluster1
0,235500,0.920483,cluster1
0,235300,0.985217,cluster1
0,235100,0.44655,cluster1
0,234100,0.661217,cluster1
0,233700,0.657667,cluster1
0,233600,0.65885,cluster1
0,233400,0.666617,cluster1
0,233200,0.664217,cluster1
0,231900,0.664367,cluster1
0,231700,0.658683,cluster1
0,231200,0.6456,cluster1
0,231100,1.04035,cluster1
0,230800,1.127833,cluster1
0,230600,0.975617,cluster1
0,230200,0.975067,cluster1
0,230000,0.94085,cluster1
0,225900,0.883933,cluster1
0,225800,0.894233,cluster1
0,224800,0.456183,cluster1
0,224400,0.458883,cluster1
0,224300,0.423633,cluster1
0,222700,1.023233,cluster1
0,222200,1.021083,cluster1
0,222100,1.0205,cluster1
0,221800,1.029533,cluster1
0,220300,1.471483,cluster1
0,215500,1.48545,cluster1
0,214900,1.39275,cluster1
0,214200,0.91645,cluster1
0,212900,0.844967,cluster1
0,211400,0.9587,cluster1
0,211100,0.951217,cluster1
0,210700,1.398217,cluster1
0,205900,1.762333,cluster1
0,204500,1.401367,cluster1
0,204400,1.39445,cluster1
0,203800,1.2907,cluster1
0,203600,1.394717,cluster1
0,201800,1.122333,cluster1
0,201100,1.8991,cluster1
0,200700,1.782583,cluster1
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200400,3.962017,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200300,4.63275,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200200,4.642567,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200100,3.268283,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,200000,3.297033,cluster2
0,195900,3.271417,cluster2
0,195900,3.271417,cluster2
0,195900,3.271417,cluster2
0,195900,3.271417,cluster2
0,195900,3.271417,cluster2
