Day,' Time','use [kW]',Cluster
0,235700,0.345717,cluster1
0,235500,0.376233,cluster1
0,235300,0.377283,cluster1
0,235100,0.45095,cluster1
0,234100,1.028967,cluster1
0,233700,1.023483,cluster1
0,233600,0.99805,cluster1
0,233400,0.88415,cluster1
0,233200,0.9123,cluster1
0,231900,0.513483,cluster1
0,231700,0.514917,cluster1
0,231200,0.515733,cluster1
0,231100,0.516617,cluster1
0,230800,0.51635,cluster1
0,230600,0.516367,cluster1
0,230200,0.29115,cluster1
0,230000,0.291,cluster1
0,225900,0.2886,cluster1
0,225800,0.292283,cluster1
0,224800,0.62945,cluster1
0,224400,0.617733,cluster1
0,224300,0.64095,cluster1
0,222700,0.506383,cluster1
0,222200,0.500683,cluster1
0,222100,0.499967,cluster1
0,221800,0.50615,cluster1
0,220300,0.510867,cluster1
0,215500,0.50595,cluster1
0,214900,0.376333,cluster1
0,214200,0.706317,cluster1
0,212900,0.7473,cluster1
0,211400,0.506783,cluster1
0,211100,0.500233,cluster1
0,210700,0.504083,cluster1
0,205900,0.504367,cluster1
0,204500,1.374117,cluster1
0,204400,1.354267,cluster1
0,203800,1.272217,cluster1
0,203600,1.265283,cluster1
0,201800,0.987283,cluster1
0,201100,0.961433,cluster1
0,200700,0.970633,cluster1
0,195800,0.957667,cluster1
0,195400,0.95905,cluster1
0,195100,1.358983,cluster1
0,194700,1.358167,cluster1
0,194500,1.507683,cluster1
0,194300,1.356883,cluster1
0,194000,1.37805,cluster1
0,193900,1.38505,cluster1
0,193100,1.266883,cluster1
0,193000,1.251633,cluster1
0,192700,1.183017,cluster1
0,192600,1.190983,cluster1
0,192400,1.107567,cluster1
0,191900,0.856467,cluster1
0,191700,0.852517,cluster1
0,191000,0.89215,cluster1
0,190900,0.955417,cluster1
0,190800,0.960317,cluster1
0,190600,0.969767,cluster1
0,190300,0.959483,cluster1
0,190000,1.065283,cluster1
0,185800,1.06135,cluster1
0,184100,1.363417,cluster1
0,184000,1.35075,cluster1
0,183500,1.361767,cluster1
0,182500,1.400967,cluster1
0,181900,1.0779,cluster1
0,181600,0.857233,cluster1
0,181200,0.87105,cluster1
0,180000,0.859633,cluster1
0,175600,0.861317,cluster1
0,175500,0.8515,cluster1
0,175100,0.9533,cluster1
0,174500,1.051183,cluster1
0,173700,1.353467,cluster1
0,173500,1.352033,cluster1
0,172900,1.35925,cluster1
0,172200,1.4714,cluster1
0,171500,1.08335,cluster1
0,171400,1.082083,cluster1
0,171200,1.084167,cluster1
0,170700,0.971533,cluster1
0,170500,0.96955,cluster1
0,165200,0.288083,cluster1
0,164700,0.2688,cluster1
0,164300,0.269767,cluster1
0,164000,0.664967,cluster1
0,163300,0.721017,cluster1
0,163200,0.71605,cluster1
0,163100,0.708483,cluster1
0,162500,0.84085,cluster1
0,161000,0.51145,cluster1
0,160900,0.51325,cluster1
0,160800,0.5116,cluster1
0,155200,0.39935,cluster1
0,154400,0.270667,cluster1
0,154300,0.2705,cluster1
0,154100,0.271383,cluster1
0,154000,0.283567,cluster1
0,153800,0.617467,cluster1
0,153700,0.606067,cluster1
0,152900,0.6092,cluster1
0,152800,0.643417,cluster1
0,152300,0.728567,cluster1
0,152200,0.753783,cluster1
0,151500,0.497633,cluster1
0,151000,0.50785,cluster1
0,150400,0.501133,cluster1
0,150100,0.503483,cluster1
0,145400,0.508367,cluster1
0,145200,0.5092,cluster1
0,144600,0.497683,cluster1
0,143900,0.377917,cluster1
0,143400,0.726067,cluster1
0,142700,0.605517,cluster1
0,142600,0.62625,cluster1
0,142300,0.615067,cluster1
0,141500,0.305883,cluster1
0,141400,0.39155,cluster1
0,141100,0.399883,cluster1
0,140800,0.400083,cluster1
0,140600,0.396467,cluster1
0,140400,0.3937,cluster1
0,135800,0.507583,cluster1
0,135500,0.504183,cluster1
0,134700,0.505367,cluster1
0,134200,0.4908,cluster1
0,134000,0.491217,cluster1
0,133400,0.83925,cluster1
0,132900,0.709933,cluster1
0,132800,0.717933,cluster1
0,132700,0.720583,cluster1
0,131600,0.819867,cluster1
0,131100,0.405783,cluster1
0,130400,0.287717,cluster1
0,130300,0.287583,cluster1
0,125900,0.392133,cluster1
0,125700,0.401083,cluster1
0,125500,0.559267,cluster1
0,125300,0.967017,cluster1
0,125200,0.963217,cluster1
0,124900,0.957683,cluster1
0,123900,1.044417,cluster1
0,122700,1.375033,cluster1
0,121800,1.285233,cluster1
0,120900,0.957167,cluster1
0,120500,0.957983,cluster1
0,120300,0.958983,cluster1
0,120000,0.972717,cluster1
0,115700,0.966367,cluster1
0,115600,0.9623,cluster1
0,114700,0.861433,cluster1
0,114100,0.9577,cluster1
0,113900,0.94615,cluster1
0,113400,1.096717,cluster1
0,111600,1.583867,cluster1
0,111500,1.610167,cluster1
0,111300,1.610617,cluster2
0,111300,1.610617,cluster2
0,111300,1.610617,cluster2
