Day,' Time','use [kW]',Cluster
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.53272,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52357,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.52583,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.69608,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79227,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79813,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.79935,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81073,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.81043,cluster8
0,3,2.82643,cluster1
0,3,1.14518,cluster1
0,3,1.2832,cluster1
0,3,1.27962,cluster1
0,3,1.16837,cluster1
0,3,1.28307,cluster1
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,1.72872,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.0578,cluster8
0,3,3.06708,cluster1
0,2,1.55572,cluster1
0,2,1.86318,cluster1
0,2,1.77397,cluster1
0,2,1.67383,cluster1
0,2,1.68768,cluster1
0,2,1.71038,cluster1
0,2,0.66915,cluster1
0,2,0.610867,cluster1
0,2,0.593533,cluster1
0,2,0.59425,cluster1
0,2,0.617417,cluster1
0,2,0.6316,cluster1
0,2,0.68985,cluster1
0,2,0.696017,cluster1
0,2,0.6851,cluster1
0,2,0.679617,cluster1
0,2,0.690883,cluster1
0,2,0.705317,cluster1
0,2,0.69275,cluster1
0,2,0.691683,cluster1
0,2,1.20485,cluster1
0,2,1.21867,cluster1
0,2,1.21112,cluster1
0,2,1.0693,cluster1
0,2,0.469817,cluster1
0,2,0.466983,cluster1
0,2,0.467967,cluster1
0,2,0.492733,cluster1
0,2,0.546867,cluster1
0,2,0.549717,cluster1
0,2,0.710983,cluster1
0,2,0.690583,cluster1
0,2,0.858117,cluster1
0,2,1.22235,cluster1
0,2,1.2638,cluster1
0,2,1.33308,cluster1
0,2,0.623333,cluster1
0,2,0.339233,cluster1
0,2,0.342017,cluster1
0,2,0.342017,cluster1
0,2,0.342633,cluster1
0,2,0.336817,cluster1
0,2,0.43075,cluster1
0,2,0.423067,cluster1
0,2,0.459633,cluster1
0,2,0.802717,cluster1
0,2,1.02207,cluster1
0,2,1.05585,cluster1
0,2,1.0358,cluster1
0,2,1.03103,cluster1
0,2,0.57305,cluster1
0,2,0.520833,cluster1
0,2,0.483867,cluster1
0,2,0.47165,cluster1
0,2,0.5411,cluster1
0,2,0.456317,cluster1
0,2,0.587617,cluster1
0,2,0.577,cluster1
0,2,0.6012,cluster1
0,2,0.61635,cluster1
0,2,0.437017,cluster1
0,2,0.432433,cluster1
0,2,0.4916,cluster1
0,2,0.90205,cluster1
0,2,0.90335,cluster1
0,2,0.898017,cluster1
0,2,0.89885,cluster1
0,2,0.900633,cluster1
0,2,1.01532,cluster1
0,2,1.08185,cluster1
0,2,1.15773,cluster1
0,2,1.22137,cluster1
0,2,1.78915,cluster1
0,2,1.77963,cluster1
0,2,1.88962,cluster1
0,2,2.00923,cluster1
0,2,2.19815,cluster1
0,2,2.2139,cluster1
0,2,2.00233,cluster1
0,2,1.4743,cluster1
0,2,1.22582,cluster1
0,2,1.23708,cluster1
0,2,1.2246,cluster1
0,2,1.24012,cluster1
0,2,1.24367,cluster1
0,2,1.24042,cluster1
0,2,0.989533,cluster1
0,2,0.995833,cluster1
0,2,1.38105,cluster1
0,2,1.473,cluster1
0,2,1.46822,cluster1
0,2,2.24288,cluster1
0,2,1.90553,cluster1
0,2,1.5919,cluster1
0,2,1.59697,cluster1
0,2,1.61,cluster1
0,2,1.49613,cluster1
0,2,1.50062,cluster1
0,2,1.50478,cluster1
0,2,2.0793,cluster1
0,2,2.07137,cluster1
0,2,3.13395,cluster1
0,2,1.3726,cluster1
0,2,1.81235,cluster1
0,2,1.86337,cluster1
0,2,1.86358,cluster1
0,2,1.75062,cluster1
0,2,1.72548,cluster1
0,2,0.93125,cluster1
0,2,1.09017,cluster1
0,2,1.11642,cluster1
0,1,1.09978,cluster1
0,1,1.11612,cluster1
0,1,1.11775,cluster1
0,1,1.12242,cluster1
0,1,1.28893,cluster1
0,1,1.28525,cluster1
0,1,1.24277,cluster1
0,1,1.45038,cluster1
0,1,1.41133,cluster1
0,1,1.39395,cluster1
0,1,1.42318,cluster1
0,1,1.91455,cluster1
0,1,2.07518,cluster1
0,1,2.06472,cluster1
0,1,2.87013,cluster1
0,1,5.91478,cluster1
0,1,1.79443,cluster1
0,1,1.76645,cluster1
0,1,1.84742,cluster1
0,1,1.48777,cluster1
0,1,1.4889,cluster1
0,1,1.51603,cluster1
0,1,1.48582,cluster1
0,1,1.55695,cluster1
0,1,1.70957,cluster1
0,1,2.11237,cluster1
0,1,3.48675,cluster1
0,1,3.8036,cluster1
0,1,3.88285,cluster1
0,1,3.84867,cluster1
0,1,3.90768,cluster1
0,1,3.79152,cluster1
0,1,3.36858,cluster1
0,1,2.60487,cluster1
0,1,2.47505,cluster1
0,1,2.92615,cluster1
0,1,2.31138,cluster1
0,1,3.37843,cluster1
0,1,6.07117,cluster1
0,1,5.94923,cluster1
0,1,5.91243,cluster1
0,1,0.415467,cluster1
0,1,0.416017,cluster1
0,1,1.00202,cluster1
0,1,1.07565,cluster1
0,1,1.07403,cluster1
0,1,1.08598,cluster1
0,1,1.11238,cluster1
0,1,1.21953,cluster1
0,1,0.542083,cluster1
0,1,0.546033,cluster1
0,1,0.55465,cluster1
0,1,0.549667,cluster1
0,1,0.570033,cluster1
0,1,0.549,cluster1
0,1,0.5467,cluster1
0,1,0.55285,cluster1
0,1,0.547083,cluster1
0,1,0.54465,cluster1
0,1,0.551167,cluster1
0,1,0.553717,cluster1
0,1,0.551433,cluster1
