Day,' Time','use [kW]',Cluster
0,0,0.586833,cluster1
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235700,2.5794,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
0,235600,2.440933,cluster8
