@relation 5.train

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21}

@data
0,0,0.895817,cluster1
0,235700,0.345717,cluster1
0,235500,0.376233,cluster1
0,235300,0.377283,cluster1
0,235100,0.45095,cluster1
0,234700,0.844567,cluster1
0,234500,0.970233,cluster1
0,234100,1.028967,cluster1
0,233700,1.023483,cluster1
0,233600,0.99805,cluster1
0,233400,0.88415,cluster1
0,233200,0.9123,cluster1
0,233000,1.04955,cluster1
0,231900,0.513483,cluster1
0,231700,0.514917,cluster1
0,231200,0.515733,cluster1
0,231100,0.516617,cluster1
0,230800,0.51635,cluster1
0,230600,0.516367,cluster1
0,230500,0.52465,cluster1
0,230200,0.29115,cluster1
0,230000,0.291,cluster1
0,225900,0.2886,cluster1
0,225800,0.292283,cluster1
0,225300,0.273067,cluster1
0,225100,0.273117,cluster1
0,224800,0.62945,cluster1
0,224400,0.617733,cluster1
0,224300,0.64095,cluster1
0,224200,0.619467,cluster1
0,222700,0.506383,cluster1
0,222300,0.50255,cluster1
0,222200,0.500683,cluster1
0,222100,0.499967,cluster1
0,221800,0.50615,cluster1
0,220600,0.511467,cluster1
0,220300,0.510867,cluster1
0,215500,0.50595,cluster1
0,215300,0.5021,cluster1
0,214900,0.376333,cluster1
0,214200,0.706317,cluster1
0,212900,0.7473,cluster1
0,212500,0.393283,cluster1
0,212300,0.497867,cluster1
0,211700,0.505483,cluster1
0,211400,0.506783,cluster1
0,211100,0.500233,cluster1
0,210700,0.504083,cluster1
0,205900,0.504367,cluster1
0,205100,1.06855,cluster1
0,204900,1.061017,cluster1
0,204500,1.374117,cluster1
0,204400,1.354267,cluster1
0,204100,1.3811,cluster1
0,203800,1.272217,cluster1
0,203600,1.265283,cluster1
0,203000,1.2845,cluster1
