Day,' Time','use [kW]',Cluster
1,0,3.27365,cluster3
0,235900,0.905417,cluster260
0,235800,0.897833,cluster260
0,235700,0.922483,cluster260
0,235600,0.9167,cluster260
0,235500,0.920483,cluster260
0,235400,0.927067,cluster260
0,235300,0.985217,cluster260
0,235200,1.04265,cluster260
0,235100,0.44655,cluster260
0,235000,0.449217,cluster260
0,234900,0.447417,cluster260
0,234800,0.44905,cluster260
0,234700,0.539767,cluster260
0,234600,0.555683,cluster260
0,234500,0.565533,cluster260
0,234400,0.560817,cluster260
0,234300,0.6292,cluster260
0,234200,0.66325,cluster260
0,234100,0.661217,cluster260
0,234000,0.658283,cluster260
0,233900,0.65755,cluster260
0,233800,0.65845,cluster260
0,233700,0.657667,cluster260
0,233600,0.65885,cluster260
0,233500,0.659983,cluster260
0,233400,0.666617,cluster260
0,233300,0.666183,cluster260
0,233200,0.664217,cluster260
0,233100,0.663083,cluster260
0,233000,0.6643,cluster260
0,232900,0.6594,cluster260
0,232800,0.65815,cluster260
0,232700,0.65645,cluster260
0,232600,0.6616,cluster260
0,232500,0.662533,cluster260
0,232400,0.664467,cluster260
0,232300,0.666317,cluster260
0,232200,0.667,cluster260
0,232100,0.6666,cluster260
0,232000,0.669767,cluster260
0,231900,0.664367,cluster260
0,231800,0.659983,cluster260
0,231700,0.658683,cluster260
0,231600,0.644033,cluster260
0,231500,0.644333,cluster260
0,231400,0.64525,cluster260
0,231300,0.6454,cluster260
0,231200,0.6456,cluster260
0,231100,1.04035,cluster260
0,231000,1.090467,cluster260
0,230900,1.087867,cluster260
0,230800,1.127833,cluster260
0,230700,1.041767,cluster260
0,230600,0.975617,cluster260
0,230500,0.980183,cluster260
0,230400,1.002367,cluster260
0,230300,1.0027,cluster260
0,230200,0.975067,cluster260
0,230100,1.00715,cluster260
0,230000,0.94085,cluster260
0,225900,0.883933,cluster260
0,225800,0.894233,cluster260
0,225700,0.893017,cluster260
0,225600,0.883517,cluster260
0,225500,0.907233,cluster260
0,225400,0.912517,cluster260
0,225300,0.917467,cluster260
0,225200,0.928717,cluster260
0,225100,1.012467,cluster260
0,225000,0.711467,cluster260
0,224900,0.461383,cluster260
0,224800,0.456183,cluster260
0,224700,0.45725,cluster260
0,224600,0.45715,cluster260
0,224500,0.4573,cluster260
0,224400,0.458883,cluster260
0,224300,0.423633,cluster260
0,224200,0.413067,cluster260
0,224100,0.44875,cluster191
0,224000,0.561183,cluster124
0,223900,0.606567,cluster124
0,223800,0.69275,cluster66
0,223700,0.552683,cluster190
0,223600,0.595267,cluster66
0,223500,0.664533,cluster190
0,223400,0.7212,cluster190
0,223300,0.7957,cluster190
0,223200,0.8312,cluster190
0,223100,1.0222,cluster124
0,223000,1.004233,cluster124
0,222900,1.010933,cluster124
0,222800,1.02375,cluster124
0,222700,1.023233,cluster124
0,222600,1.020483,cluster124
0,222500,1.0211,cluster124
0,222400,1.02015,cluster124
0,222300,1.01985,cluster124
0,222200,1.021083,cluster124
0,222100,1.0205,cluster124
0,222000,1.029433,cluster124
0,221900,1.02435,cluster124
0,221800,1.029533,cluster124
0,221700,1.026383,cluster124
0,221600,1.026783,cluster124
0,221500,1.001817,cluster124
0,221400,1.005583,cluster124
0,221300,1.006817,cluster124
0,221200,1.007517,cluster124
0,221100,1.012467,cluster124
0,221000,1.226867,cluster124
0,220900,1.47415,cluster124
0,220800,1.447683,cluster124
0,220700,1.46255,cluster124
0,220600,1.47655,cluster124
0,220500,1.4584,cluster124
0,220400,1.4842,cluster124
0,220300,1.471483,cluster124
0,220200,1.45985,cluster124
0,220100,1.453633,cluster124
0,220000,1.46295,cluster124
0,215900,1.463967,cluster124
0,215800,1.467117,cluster124
0,215700,1.46775,cluster124
0,215600,1.477567,cluster124
0,215500,1.48545,cluster124
0,215400,1.484233,cluster124
0,215300,1.474933,cluster124
0,215200,1.36685,cluster124
0,215100,1.408233,cluster124
0,215000,1.441033,cluster124
0,214900,1.39275,cluster124
0,214800,0.916467,cluster124
0,214700,0.916717,cluster124
0,214600,0.915483,cluster124
0,214500,0.91685,cluster124
0,214400,0.917033,cluster124
0,214300,0.916217,cluster124
0,214200,0.91645,cluster124
0,214100,0.917683,cluster124
0,214000,0.9172,cluster124
0,213900,0.912017,cluster124
0,213800,0.916867,cluster124
0,213700,0.9177,cluster124
0,213600,0.909183,cluster124
0,213500,0.912467,cluster124
0,213400,1.144483,cluster72
0,213300,0.895467,cluster124
0,213200,0.849967,cluster259
0,213100,0.836367,cluster259
0,213000,0.832767,cluster259
0,212900,0.844967,cluster259
0,212800,0.848,cluster259
0,212700,0.84715,cluster259
0,212600,0.84955,cluster259
0,212500,0.847583,cluster259
0,212400,0.8465,cluster259
0,212300,0.947067,cluster259
0,212200,0.963417,cluster259
0,212100,0.960283,cluster259
0,212000,0.959383,cluster259
0,211900,0.953283,cluster259
0,211800,0.9593,cluster259
0,211700,0.957533,cluster259
0,211600,0.961217,cluster259
0,211500,0.964833,cluster259
0,211400,0.9587,cluster259
0,211300,0.94775,cluster259
0,211200,0.949633,cluster259
0,211100,0.951217,cluster259
0,211000,0.949283,cluster259
0,210900,0.975567,cluster259
0,210800,1.387567,cluster259
0,210700,1.398217,cluster259
0,210600,1.374367,cluster259
0,210500,1.38465,cluster259
0,210400,1.289067,cluster259
0,210300,1.394267,cluster191
0,210200,1.430083,cluster259
0,210100,1.446167,cluster259
0,210000,1.682067,cluster259
0,205900,1.762333,cluster259
0,205800,1.757267,cluster259
0,205700,2.519133,cluster3
0,205600,3.127583,cluster3
0,205500,2.88245,cluster3
0,205400,2.665067,cluster3
0,205300,1.844083,cluster3
0,205200,1.19045,cluster259
0,205100,1.384033,cluster259
0,205000,1.307517,cluster3
0,204900,1.357617,cluster259
0,204800,1.899767,cluster259
0,204700,1.345467,cluster259
0,204600,1.278567,cluster259
0,204500,1.401367,cluster259
0,204400,1.39445,cluster259
0,204300,1.411817,cluster259
0,204200,1.400617,cluster259
0,204100,1.397917,cluster259
0,204000,1.409967,cluster259
0,203900,1.285533,cluster259
0,203800,1.2907,cluster259
0,203700,1.295033,cluster259
0,203600,1.394717,cluster259
0,203500,1.466817,cluster259
0,203400,1.468833,cluster259
0,203300,1.464317,cluster259
0,203200,1.449517,cluster259
0,203100,2.344183,cluster3
0,203000,2.643217,cluster3
0,202900,2.639317,cluster3
0,202800,2.646917,cluster3
0,202700,2.6386,cluster3
0,202600,2.6393,cluster3
0,202500,2.7014,cluster3
0,202400,2.630333,cluster3
0,202300,2.628367,cluster3
0,202200,2.61165,cluster3
0,202100,2.599933,cluster3
0,202000,2.591883,cluster3
0,201900,2.497967,cluster3
0,201800,1.122333,cluster3
0,201700,1.401817,cluster3
0,201600,1.8246,cluster3
0,201500,1.981883,cluster3
0,201400,1.9708,cluster3
0,201300,1.995867,cluster3
0,201200,1.982817,cluster3
0,201100,1.8991,cluster3
0,201000,1.7961,cluster3
0,200900,1.217383,cluster3
0,200800,1.3185,cluster3
0,200700,1.782583,cluster3
0,200600,1.809417,cluster3
0,200500,1.72665,cluster3
0,200400,3.962017,cluster3
0,200300,4.63275,cluster3
0,200200,4.642567,cluster3
0,200100,3.268283,cluster124
0,200000,3.297033,cluster124
0,195900,3.271417,cluster83
0,195800,3.301233,cluster83
0,195700,3.422033,cluster83
0,195600,3.685283,cluster124
0,195500,3.68845,cluster124
0,195400,3.8044,cluster124
0,195300,3.635983,cluster3
0,195200,3.596433,cluster190
0,195100,3.6196,cluster190
0,195000,3.61005,cluster190
0,194900,3.622667,cluster190
0,194800,3.951067,cluster190
0,194700,6.281083,cluster190
0,194600,3.5153,cluster3
0,194500,3.18505,cluster3
0,194400,4.840483,cluster3
0,194300,4.93865,cluster190
0,194200,3.186917,cluster3
0,194100,4.86205,cluster190
0,194000,4.789817,cluster5
0,193900,2.973067,cluster5
0,193800,4.198483,cluster5
0,193700,6.548367,cluster83
0,193600,6.5117,cluster5
0,193500,6.52855,cluster5
0,193400,5.3199,cluster83
0,193300,1.529117,cluster83
0,193200,1.4783,cluster83
0,193100,1.234517,cluster83
0,193000,1.257833,cluster83
0,192900,1.243167,cluster83
0,192800,1.281117,cluster83
0,192700,1.268733,cluster83
0,192600,1.272567,cluster83
0,192500,1.268367,cluster83
0,192400,1.306683,cluster83
0,192300,1.386983,cluster83
0,192200,1.3413,cluster83
0,192100,1.393033,cluster83
0,192000,1.457917,cluster83
0,191900,1.411967,cluster83
0,191800,1.63365,cluster83
0,191700,1.824317,cluster83
0,191600,1.811267,cluster83
0,191500,1.859033,cluster83
0,191400,1.889767,cluster83
0,191300,1.996233,cluster83
0,191200,1.889783,cluster83
0,191100,2.118567,cluster156
0,191000,2.114233,cluster83
0,190900,2.118467,cluster83
0,190800,2.12405,cluster83
0,190700,2.147383,cluster83
0,190600,2.372217,cluster83
0,190500,2.708483,cluster83
0,190400,2.73465,cluster83
0,190300,2.75455,cluster83
0,190200,2.41865,cluster83
0,190100,2.17305,cluster83
0,190000,2.070867,cluster83
0,185900,2.1039,cluster83
0,185800,1.904933,cluster83
0,185700,1.876083,cluster5
0,185600,2.05425,cluster83
0,185500,2.1309,cluster83
0,185400,2.29285,cluster83
0,185300,2.28665,cluster124
0,185200,2.276067,cluster124
0,185100,2.282867,cluster124
0,185000,2.242517,cluster124
0,184900,2.24485,cluster124
0,184800,2.256933,cluster124
0,184700,2.301533,cluster124
0,184600,2.232767,cluster124
0,184500,2.255483,cluster124
0,184400,1.7277,cluster124
0,184300,1.722067,cluster124
0,184200,1.73105,cluster124
0,184100,1.750633,cluster124
0,184000,1.770883,cluster124
0,183900,1.743733,cluster124
0,183800,1.780717,cluster124
0,183700,1.796433,cluster83
0,183600,1.80455,cluster83
0,183500,1.804017,cluster83
0,183400,1.820217,cluster83
0,183300,1.764967,cluster124
0,183200,1.751133,cluster124
0,183100,1.7555,cluster124
0,183000,1.752733,cluster124
0,182900,1.7646,cluster124
0,182800,1.77025,cluster124
0,182700,1.764417,cluster124
0,182600,1.77115,cluster124
0,182500,1.761733,cluster124
0,182400,1.75355,cluster124
0,182300,1.752133,cluster124
0,182200,1.7628,cluster124
0,182100,2.118933,cluster72
0,182000,1.769217,cluster124
0,181900,1.773517,cluster124
0,181800,1.757867,cluster124
0,181700,1.852367,cluster124
0,181600,1.910483,cluster124
0,181500,1.8769,cluster124
0,181400,1.880817,cluster124
0,181300,1.9172,cluster124
0,181200,1.9355,cluster124
0,181100,2.320367,cluster72
0,181000,3.486117,cluster72
