Instance_number,Day,' Time','use [kW]','02:Dryer* [kVA]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
4321,1,235800,1.8641,1.050233,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4321,1,235800,1.8641,1.050233,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4322,1,235700,1.87692,1.046533,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4322,1,235700,1.87692,1.046533,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
9788,0,45100,1.03352,0.014367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
4323,1,235600,2.07088,1.180667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4323,1,235600,2.07088,1.180667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
9789,0,45000,1.05763,0.014333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
4324,1,235500,3.36795,2.012183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4324,1,235500,3.36795,2.012183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4325,1,235400,3.38752,2.012933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4325,1,235400,3.38752,2.012933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
9791,0,44800,1.01595,0.0142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
4326,1,235300,3.3974,2.021567,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4326,1,235300,3.3974,2.021567,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4327,1,235200,3.39585,2.039583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
4327,1,235200,3.39585,2.039583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cluster14
9793,0,44600,0.93355,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
9795,0,44400,0.948233,0.014067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
9796,0,44300,0.951133,0.014033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
9797,0,44200,0.9678,0.0141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2228,1,105100,1.01658,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2229,1,105000,1.01048,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2230,1,104900,1.00508,0.0148,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2231,1,104800,1.0092,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2232,1,104700,1.01193,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2233,1,104600,1.33342,0.014967,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2234,1,104500,1.54882,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2235,1,104400,1.53563,0.015033,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2236,1,104300,1.55055,0.015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
2237,1,104200,1.68667,0.014933,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,cluster8
8508,1,21100,1.52407,0.015333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
8509,1,21000,1.47182,0.015267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
8510,1,20900,1.47405,0.015333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
10018,0,10100,1.07282,0.013933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
8511,1,20800,1.46003,0.015233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
10019,0,10000,1.07207,0.01395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
8513,1,20600,1.51013,0.015267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
10021,0,5800,1.07127,0.013917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
8514,1,20500,1.51133,0.015267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3928,1,63100,0.9279,0.014467,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
10023,0,5600,1.08578,0.013883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
8516,1,20300,1.46428,0.015167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cluster6
3929,1,63000,0.93605,0.0144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3929,1,63000,0.93605,0.0144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3929,1,63000,0.93605,0.0144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3929,1,63000,0.93605,0.0144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
3929,1,63000,0.93605,0.0144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cluster0
