@relation '1.train-weka.filters.unsupervised.attribute.Remove-R1,5-25'

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1,235800,1.8641,cluster14
1,235800,1.8641,cluster14
1,235700,1.87692,cluster14
1,235700,1.87692,cluster14
0,45100,1.03352,cluster6
1,235600,2.07088,cluster14
1,235600,2.07088,cluster14
0,45000,1.05763,cluster6
1,235500,3.36795,cluster14
1,235500,3.36795,cluster14
1,235400,3.38752,cluster14
1,235400,3.38752,cluster14
0,44800,1.01595,cluster6
1,235300,3.3974,cluster14
1,235300,3.3974,cluster14
1,235200,3.39585,cluster14
1,235200,3.39585,cluster14
0,44600,0.93355,cluster6
0,44400,0.948233,cluster6
0,44200,0.9678,cluster6
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105100,1.01658,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,105000,1.01048,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104900,1.00508,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104800,1.0092,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104700,1.01193,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104600,1.33342,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104500,1.54882,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104400,1.53563,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104300,1.55055,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,104200,1.68667,cluster8
1,21100,1.52407,cluster6
1,21000,1.47182,cluster4
1,20900,1.47405,cluster4
0,10100,1.07282,cluster6
1,20800,1.46003,cluster4
0,10000,1.07207,cluster6
1,20600,1.51013,cluster6
0,5800,1.07127,cluster6
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
1,63100,0.9279,cluster0
0,5600,1.08578,cluster6
1,20300,1.46428,cluster6
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,63000,0.93605,cluster0
1,20200,0.96175,cluster6
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62900,1.00365,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
1,62800,1.55497,cluster0
0,5300,0.959933,cluster6
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62700,1.55302,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62600,1.54957,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62500,1.55012,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
1,62400,1.56043,cluster0
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
0,235900,2.53272,cluster5
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
1,62300,0.914867,cluster0
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
0,235800,2.52357,cluster5
1,130100,0.78785,cluster6
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
1,62200,0.651217,cluster0
0,235700,2.52583,cluster5
0,235700,2.52583,cluster5
0,235700,2.52583,cluster5
