Instance_number,Day,' Time','use [kW]','02:Dryer* [kVA]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
10080,1,235900,3.06022,0.014567,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10081,1,235800,2.92567,0.014567,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10082,1,235700,2.93335,0.014633,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10083,1,235600,2.91262,0.0146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10084,1,235500,2.94078,0.014533,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10085,1,235400,2.96678,0.0145,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10086,1,235300,2.99145,0.014433,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10087,1,235200,3.02233,0.0144,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10088,1,235100,2.53127,0.014567,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,cluster5
10089,1,235000,1.09568,0.015133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10090,1,234900,1.06925,0.015167,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10091,1,234800,1.24102,0.015333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10092,1,234700,1.3794,0.015233,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,cluster2
10093,1,234600,1.38442,0.015233,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,cluster2
10094,1,234500,1.43045,0.015133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,cluster2
10095,1,234400,1.37098,0.015233,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10096,1,234300,1.26462,0.015267,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10097,1,234200,1.22775,0.0153,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10098,1,234100,1.19418,0.015267,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10099,1,234000,1.18333,0.015067,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10100,1,233900,1.49972,0.015133,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10101,1,233800,1.50213,0.015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10102,1,233700,1.49587,0.015067,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,cluster14
10103,1,233600,1.32553,0.015367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10104,1,233500,1.49817,0.015233,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster6
10105,1,233400,1.48743,0.015233,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10106,1,233300,1.57653,0.015233,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10107,1,233200,1.56287,0.0152,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10108,1,233100,1.5472,0.015233,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10109,1,233000,1.53985,0.015167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10110,1,232900,1.29343,0.015167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
10111,1,232800,1.32092,0.0153,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10112,1,232700,1.35308,0.0153,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10113,1,232600,1.31615,0.0153,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10114,1,232500,1.30208,0.015267,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10115,1,232400,1.36908,0.0153,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10116,1,232300,1.34357,0.015333,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10117,1,232200,1.34827,0.015333,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10118,1,232100,1.35758,0.0153,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10119,1,232000,1.35262,0.015367,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10120,1,231900,1.34203,0.0154,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10121,1,231800,1.343,0.0154,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10122,1,231700,1.3423,0.015167,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10123,1,231600,1.34257,0.015,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10124,1,231500,1.35792,0.015033,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10125,1,231400,1.36878,0.0151,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10126,1,231300,1.36803,0.015167,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10127,1,231200,1.38708,0.0152,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10128,1,231100,1.84687,0.384267,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10129,1,231000,2.46743,1.01797,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10130,1,230900,2.46962,1.02247,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10131,1,230800,3.0262,1.3712,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10132,1,230700,3.95708,1.98422,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10133,1,230600,3.95697,1.98372,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10134,1,230500,3.97072,1.97992,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10135,1,230400,3.95637,1.97813,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10136,1,230300,3.942,1.9824,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10137,1,230200,3.91763,1.96593,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10138,1,230100,3.94063,2.00025,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10139,1,230000,3.87098,1.99618,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10140,1,225900,3.5195,1.99343,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10141,1,225800,3.5789,1.99163,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10142,1,225700,3.59425,1.99283,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10143,1,225600,3.58695,1.99437,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10144,1,225500,3.59535,1.9933,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10145,1,225400,3.60783,1.99077,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10146,1,225300,3.6199,1.99052,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10147,1,225200,3.64692,1.9917,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10148,1,225100,3.68398,1.99343,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10149,1,225000,3.61402,1.99228,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10150,1,224900,3.21418,1.98455,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10151,1,224800,3.19738,1.97982,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10152,1,224700,3.19548,1.9776,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10153,1,224600,3.2059,1.97675,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10154,1,224500,3.21812,1.98107,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10155,1,224400,3.2116,1.97452,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10156,1,224300,3.2154,1.97888,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10157,1,224200,3.21052,1.98272,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10158,1,224100,3.46233,1.98783,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10159,1,224000,3.60843,1.98972,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10160,1,223900,3.55795,1.9884,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10161,1,223800,3.54147,1.97843,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10162,1,223700,3.49023,1.9744,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10163,1,223600,3.47578,1.97697,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10164,1,223500,4.8347,3.15375,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10165,1,223400,3.63845,2.13037,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10166,1,223300,3.4437,1.97392,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10167,1,223200,4.04422,2.51168,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10168,1,223100,4.69482,3.07507,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
10169,1,223000,3.15287,1.97577,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,cluster19
