Day,' Time','use [kW]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
1,202200,0.66282,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,cluster16
1,202100,0.643603,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,cluster16
1,73800,0.102067,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,cluster16
0,83900,0.488534,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,83800,0.606401,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,83700,0.932849,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,cluster16
0,83600,0.838116,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,83500,1.02038,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,cluster16
0,83400,0.806617,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,83300,0.694833,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,83200,0.864834,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,cluster16
0,83100,0.717733,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,83000,0.551116,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,82900,0.736883,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,cluster16
0,82800,0.524517,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,82700,0.717382,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,cluster16
0,82600,0.536567,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,82500,0.487067,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,cluster16
0,82400,0.866432,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,cluster16
0,82300,0.714067,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,82200,0.7547,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,cluster16
0,82100,0.860466,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,cluster16
0,82000,0.6353,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,cluster16
