refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0,5,0,1,21220,cluster13
0.046504,6,0,0,21310,cluster13
0.049806,6,0,0,21300,cluster13
0.05347,6,0,0,21290,cluster13
0.051734,6,0,0,21280,cluster13
0.053337,6,0,0,21270,cluster13
0.050941,6,0,0,21250,cluster13
0.057304,6,0,0,21240,cluster13
0.074473,6,0,0,21230,cluster13
0.07469,6,0,0,21220,cluster13
0.70853,3,3,1,10380,cluster13
0.708021,3,3,1,10370,cluster13
0.584613,3,3,1,10360,cluster13
0.547554,3,3,1,10350,cluster13
0.555754,3,3,1,10340,cluster13
0.546747,3,3,1,10330,cluster13
0.540582,3,3,1,10320,cluster13
0.53303,3,3,1,10310,cluster13
1.48836,6,0,0,16590,cluster13
1.40703,6,0,0,16580,cluster13
1.19212,6,0,0,16570,cluster13
1.33967,6,0,0,16560,cluster13
1.42939,6,0,0,16550,cluster13
1.43537,6,0,0,16540,cluster13
1.43445,6,0,0,16530,cluster13
1.4581,6,0,0,16520,cluster13
0,5,0,1,21210,cluster13
0,5,0,1,21200,cluster13
0,5,0,1,21190,cluster13
0.347756,5,0,1,21180,cluster13
0.791974,5,0,1,21170,cluster13
0.049436,5,0,1,21160,cluster13
0.04837,5,0,1,21150,cluster13
0.046337,5,0,1,21140,cluster13
0.045986,5,0,1,21130,cluster13
0.052423,5,0,1,21120,cluster13
0.088753,6,0,0,21210,cluster13
0.073473,6,0,0,21200,cluster13
0.076084,6,0,0,21190,cluster13
0.076503,6,0,0,21180,cluster13
0.070533,6,0,0,21170,cluster13
0.079707,6,0,0,21160,cluster13
0.126567,6,0,0,21150,cluster13
0.14177,6,0,0,21140,cluster13
0.132907,6,0,0,21130,cluster13
0.13369,6,0,0,21120,cluster13
0.547917,3,3,1,10300,cluster13
0.538188,3,3,1,10290,cluster13
0.540913,3,3,1,10280,cluster13
0.544369,3,3,1,10270,cluster13
0.552898,3,3,1,10260,cluster13
0.554634,3,3,1,10250,cluster13
0.55225,3,3,1,10240,cluster13
0.551313,3,3,1,10230,cluster13
0.55383,3,3,1,10220,cluster13
0.549881,3,3,1,10210,cluster13
0.052056,5,0,1,21110,cluster13
0.054519,5,0,1,21100,cluster13
0.050283,5,0,1,21090,cluster13
0.046824,5,0,1,21080,cluster13
0.05132,5,0,1,21070,cluster13
0.050887,5,0,1,21060,cluster13
0.045491,5,0,1,21050,cluster13
0.052616,5,0,1,21040,cluster13
0.04545,5,0,1,21030,cluster13
0.042375,5,0,1,21020,cluster13
0,6,0,0,21110,cluster13
0,6,0,0,21100,cluster13
0,6,0,0,21090,cluster13
0.094507,6,0,0,21080,cluster13
0,6,0,0,21070,cluster13
0,6,0,0,21060,cluster13
0.161549,6,0,0,21050,cluster13
0.122604,6,0,0,21040,cluster13
0.058233,6,0,0,21030,cluster13
0.06727,6,0,0,21020,cluster13
0.550487,3,3,1,10200,cluster13
0.549047,3,3,1,10190,cluster13
0.552621,3,3,1,10180,cluster13
0.552566,3,3,1,10170,cluster13
0.558963,3,3,1,10160,cluster13
0.638586,3,3,1,10150,cluster13
0.694213,3,3,1,10140,cluster13
0.662119,3,3,1,10130,cluster13
0.690567,3,3,1,10120,cluster13
0.87677,3,3,1,10110,cluster13
0,5,0,1,21010,cluster13
0.017867,5,0,1,21000,cluster13
0.034237,5,0,1,20590,cluster13
0.086387,5,0,1,20580,cluster13
0.127305,5,0,1,20570,cluster13
0.05007,5,0,1,20560,cluster13
0.039187,5,0,1,20550,cluster13
0.05427,5,0,1,20540,cluster13
0.03447,5,0,1,20530,cluster13
0.034906,5,0,1,20520,cluster13
0.025417,0,0,0,20190,cluster13
0.034549,0,0,0,20180,cluster13
0.031717,0,0,0,20170,cluster13
0.039468,0,0,0,20160,cluster13
0.038383,0,0,0,20150,cluster13
0.031784,0,0,0,20140,cluster13
0.036949,0,0,0,20130,cluster13
0.04025,0,0,0,20120,cluster13
0.043783,0,0,0,20110,cluster13
0.058468,0,0,0,20100,cluster13
0.6763,3,3,1,10100,cluster13
0.675753,3,3,1,10090,cluster13
0.678397,3,3,1,10080,cluster13
0.676804,3,3,1,10070,cluster13
0.443699,3,3,1,10060,cluster13
0.417267,3,3,1,10050,cluster13
0.40222,3,3,1,10040,cluster13
0.412247,3,3,1,10030,cluster13
0.419398,3,3,1,10020,cluster13
0.417971,3,3,1,10010,cluster13
0.040773,5,0,1,20510,cluster13
0.048157,5,0,1,20500,cluster13
