'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.799183,1,3,1,9500,1.185333,cluster13
1.42897,2,1,1,460,1.7993,cluster15
0.799833,1,3,1,9490,1.183633,cluster13
1.49103,2,1,1,450,1.840283,cluster15
0.798184,1,3,1,9480,1.18285,cluster13
1.47658,2,1,1,440,1.83355,cluster15
0.8447,1,3,1,9470,1.229667,cluster13
1.1238,2,1,1,430,1.47505,cluster15
1.16698,1,3,1,9460,1.541933,cluster13
1.12933,2,1,1,420,1.462333,cluster15
1.13948,1,3,1,9450,1.52705,cluster13
1.09098,2,1,1,410,1.446233,cluster15
0.857467,1,3,1,9440,1.1412,cluster13
0.88215,1,3,1,9430,1.070783,cluster13
1.8035,4,2,1,6500,1.972033,cluster13
0.880699,1,3,1,9420,1.066983,cluster13
1.82108,4,2,1,6490,1.9796,cluster13
0.8857,1,3,1,9410,1.073367,cluster13
1.8342,4,2,1,6480,1.97955,cluster13
1.85447,4,2,1,6470,1.99635,cluster13
1.83722,4,2,1,6460,1.986767,cluster13
1.82022,4,2,1,6450,1.98095,cluster13
2.2704,4,2,1,6440,2.436633,cluster13
2.32467,4,2,1,6430,2.473933,cluster13
2.33713,4,2,1,6420,2.47505,cluster13
2.32665,4,2,1,6410,2.461733,cluster13
0.24122,1,3,1,9590,1.42277,cluster15
0.243603,1,3,1,9580,1.42147,cluster15
0.229213,1,3,1,9570,1.39983,cluster15
0.42415,3,2,1,4010,1.26655,cluster9
0.256303,1,3,1,9560,1.42382,cluster15
0.36334,3,2,1,4000,1.24197,cluster12
0.183296,1,3,1,9550,1.36898,cluster15
0.346631,3,1,1,3590,1.22973,cluster12
0.100684,1,3,1,9540,1.28645,cluster15
0,3,1,1,3580,0.896633,cluster12
0.069814,1,3,1,9530,1.24838,cluster13
0,3,1,1,3570,0.9516,cluster12
0.07498,1,3,1,9520,1.24693,cluster13
0.002773,3,1,1,3560,0.976017,cluster12
0.065587,1,3,1,9510,1.24787,cluster13
0.029283,3,1,1,3550,0.9759,cluster12
0.068703,1,3,1,9500,1.24682,cluster13
0,3,1,1,3540,0.97745,cluster12
0,3,1,1,3530,1.13403,cluster12
0.00484,3,1,1,3520,1.13972,cluster12
0.422299,5,0,1,23500,0.778133,cluster15
1.0282,5,0,1,23490,1.37973,cluster15
1.87813,5,0,1,23480,2.2265,cluster15
1.8205,5,0,1,23470,2.1734,cluster15
