refinedUse,' dow',' phase',' dType',' Time',' Cluster'
1.01958,3,0,1,17340,cluster8
0,5,0,1,21220,cluster13
0.692717,3,0,1,17330,cluster8
0.694601,3,0,1,17320,cluster8
0.693566,3,0,1,17310,cluster8
0.457889,1,3,1,11210,cluster7
0.512306,1,3,1,11200,cluster7
0.476873,1,3,1,11190,cluster7
0.493133,1,3,1,11180,cluster7
0.046504,6,0,0,21310,cluster13
0.512783,1,3,1,11170,cluster7
0.049806,6,0,0,21300,cluster13
0.526806,1,3,1,11160,cluster7
0.05347,6,0,0,21290,cluster13
0.48902,1,3,1,11150,cluster7
0.051734,6,0,0,21280,cluster13
0.502897,1,3,1,11140,cluster7
0.053337,6,0,0,21270,cluster13
0.649716,1,3,1,11130,cluster7
0.056967,6,0,0,21260,cluster11
0.56037,1,3,1,11120,cluster7
0.050941,6,0,0,21250,cluster13
0.057304,6,0,0,21240,cluster13
0.074473,6,0,0,21230,cluster13
0.07469,6,0,0,21220,cluster13
0.781903,3,3,1,10400,cluster6
0.744897,3,3,1,10390,cluster6
0.70853,3,3,1,10380,cluster13
0.708021,3,3,1,10370,cluster13
0.584613,3,3,1,10360,cluster13
0.547554,3,3,1,10350,cluster13
0.555754,3,3,1,10340,cluster13
0.546747,3,3,1,10330,cluster13
1.69218,3,3,1,7400,cluster4
0.540582,3,3,1,10320,cluster13
1.71877,3,3,1,7390,cluster4
0.53303,3,3,1,10310,cluster13
1.76782,3,3,1,7380,cluster4
1.78962,3,3,1,7370,cluster1
1.0806,2,0,1,16400,cluster1
1.80947,3,3,1,7360,cluster1
1.00967,2,0,1,16390,cluster1
1.81252,3,3,1,7350,cluster1
0.677966,2,0,1,16380,cluster1
1.81897,3,3,1,7340,cluster19
0.679017,2,0,1,16370,cluster1
2.08678,3,3,1,7330,cluster19
0.675284,2,0,1,16360,cluster1
2.22457,3,3,1,7320,cluster19
0.675901,2,0,1,16350,cluster1
1.62271,2,0,1,16210,cluster1
2.17897,3,3,1,7310,cluster19
0.739899,2,0,1,16340,cluster1
1.64166,2,0,1,16200,cluster1
1.07945,2,0,1,16330,cluster1
1.58377,2,0,1,16190,cluster1
0,0,3,1,12300,cluster11
0.917534,2,0,1,16320,cluster1
1.74551,2,0,1,16180,cluster1
0,0,3,1,12290,cluster11
0.8914,2,0,1,16310,cluster1
1.61568,2,0,1,16170,cluster1
0,0,3,1,12280,cluster11
0.18307,2,0,1,16160,cluster1
0,0,3,1,12270,cluster11
0.13281,2,0,1,16150,cluster1
0.003201,0,3,1,12260,cluster11
0.157473,2,0,1,16140,cluster1
0.000101,0,3,1,12250,cluster11
0.276916,2,0,1,16130,cluster1
0.023184,0,3,1,12240,cluster11
0.267104,2,0,1,16120,cluster1
0.050551,0,3,1,12230,cluster11
1.48836,6,0,0,16590,cluster13
0.039551,0,3,1,12220,cluster11
1.40703,6,0,0,16580,cluster13
0.049466,0,3,1,12210,cluster11
1.19212,6,0,0,16570,cluster13
1.33967,6,0,0,16560,cluster13
1.42939,6,0,0,16550,cluster13
1.43537,6,0,0,16540,cluster13
1.43445,6,0,0,16530,cluster13
1.60977,3,0,1,16210,cluster10
1.4581,6,0,0,16520,cluster13
1.63418,3,0,1,16200,cluster10
1.18405,3,0,1,16190,cluster10
0.081774,3,0,1,16180,cluster10
0.062333,3,0,1,16170,cluster10
0.088243,3,0,1,16160,cluster10
0.077054,3,0,1,16150,cluster10
0.09257,3,0,1,16140,cluster10
0.0696,3,0,1,16130,cluster10
0.052254,3,0,1,16120,cluster10
0.128888,0,2,0,6110,cluster0
0.224217,0,2,0,6100,cluster0
0.203149,3,2,1,6400,cluster8
0.224167,0,2,0,6090,cluster0
0.198,3,2,1,6390,cluster8
0.225558,0,2,0,6080,cluster0
0.193667,3,2,1,6380,cluster8
0,0,2,0,6070,cluster0
0.234166,3,2,1,6370,cluster8
0,0,2,0,6060,cluster0
0.2303,3,2,1,6360,cluster8
0.062921,0,2,0,6050,cluster0
0.241916,3,2,1,6350,cluster8
0.047007,0,2,0,6040,cluster0
0.229215,3,2,1,6340,cluster8
0.053554,0,2,0,6030,cluster0
0.234884,3,2,1,6330,cluster8
0.072032,0,2,0,6020,cluster0
0.216234,6,1,0,3400,cluster11
0.226616,3,2,1,6320,cluster8
0.251583,6,1,0,3390,cluster11
0.229516,3,2,1,6310,cluster8
0.238033,6,1,0,3380,cluster11
0.252667,6,1,0,3370,cluster11
0,5,3,1,12400,cluster11
0.286167,0,3,0,11300,cluster1
0.244183,6,1,0,3360,cluster11
0,5,3,1,12390,cluster11
0.278234,0,3,0,11290,cluster1
0.242084,6,1,0,3350,cluster11
0,5,3,1,12380,cluster11
0.28975,0,3,0,11280,cluster1
0.26335,6,1,0,3340,cluster11
0,5,3,1,12370,cluster11
0.309817,0,3,0,11270,cluster16
0.244833,6,1,0,3330,cluster11
0,5,3,1,12360,cluster11
0.218651,0,3,0,11260,cluster16
0.259117,6,1,0,3320,cluster11
0,5,3,1,12350,cluster11
0.1423,0,3,0,11250,cluster8
0.30515,6,1,0,3310,cluster11
0,5,3,1,12340,cluster11
0.144066,0,3,0,11240,cluster8
0,5,3,1,12330,cluster11
0.139066,0,3,0,11230,cluster8
0,5,3,1,12320,cluster11
0.1383,0,3,0,11220,cluster8
0,5,0,1,21210,cluster13
0,5,3,1,12310,cluster11
0.140084,0,3,0,11210,cluster8
0,5,0,1,21200,cluster13
0,5,0,1,21190,cluster13
0.603684,3,0,1,17300,cluster8
0.347756,5,0,1,21180,cluster13
0.527567,3,0,1,17290,cluster8
0.791974,5,0,1,21170,cluster13
0.518218,3,0,1,17280,cluster8
0.049436,5,0,1,21160,cluster13
0.507867,3,0,1,17270,cluster8
0.04837,5,0,1,21150,cluster13
0.5119,3,0,1,17260,cluster8
0.046337,5,0,1,21140,cluster13
0.529468,3,0,1,17250,cluster8
0.045986,5,0,1,21130,cluster13
0.531183,3,0,1,17240,cluster8
0.052423,5,0,1,21120,cluster13
0.535867,3,0,1,17230,cluster8
0.534316,3,0,1,17220,cluster8
0.519799,3,0,1,17210,cluster8
1.06322,1,3,1,11110,cluster7
0.816857,1,3,1,11100,cluster7
0.61516,1,3,1,11090,cluster7
0.65303,1,3,1,11080,cluster7
0.088753,6,0,0,21210,cluster13
0.644437,1,3,1,11070,cluster7
0.073473,6,0,0,21200,cluster13
0.662843,1,3,1,11060,cluster7
0.076084,6,0,0,21190,cluster13
0.641641,1,3,1,11050,cluster7
0.076503,6,0,0,21180,cluster13
0.627636,1,3,1,11040,cluster7
0.070533,6,0,0,21170,cluster13
0.63909,1,3,1,11030,cluster7
0.079707,6,0,0,21160,cluster13
0.6329,1,3,1,11020,cluster7
0.126567,6,0,0,21150,cluster13
0.14177,6,0,0,21140,cluster13
0.132907,6,0,0,21130,cluster13
0.13369,6,0,0,21120,cluster13
0.474483,6,1,0,2400,cluster2
0.7091,6,1,0,2390,cluster2
0.71095,6,1,0,2380,cluster2
0.547917,3,3,1,10300,cluster13
0.754283,6,1,0,2370,cluster2
0.538188,3,3,1,10290,cluster13
0.686967,6,1,0,2360,cluster2
0.540913,3,3,1,10280,cluster13
0.687434,6,1,0,2350,cluster2
0.544369,3,3,1,10270,cluster13
0.6879,6,1,0,2340,cluster2
0.552898,3,3,1,10260,cluster13
0.701102,6,1,0,2330,cluster2
0.554634,3,3,1,10250,cluster13
0.715716,6,1,0,2320,cluster2
0.55225,3,3,1,10240,cluster13
0.69245,6,1,0,2310,cluster2
0.551313,3,3,1,10230,cluster13
2.17597,3,3,1,7300,cluster19
0.55383,3,3,1,10220,cluster13
2.17963,3,3,1,7290,cluster19
0.549881,3,3,1,10210,cluster13
2.20295,3,3,1,7280,cluster19
2.19028,3,3,1,7270,cluster19
1.06395,2,0,1,16300,cluster1
2.17797,3,3,1,7260,cluster19
1.15927,2,0,1,16290,cluster1
1.98975,3,3,1,7250,cluster19
0.875266,2,0,1,16280,cluster1
1.86277,3,3,1,7240,cluster19
0.793566,2,0,1,16270,cluster1
1.9094,3,3,1,7230,cluster19
0.786917,2,0,1,16260,cluster1
1.87922,3,3,1,7220,cluster19
0.795432,2,0,1,16250,cluster1
0.58992,2,0,1,16110,cluster1
1.87152,3,3,1,7210,cluster19
0.797217,2,0,1,16240,cluster1
0.83056,2,0,1,16100,cluster1
0.80625,2,0,1,16230,cluster1
0.286473,2,0,1,16090,cluster1
0,0,3,1,12200,cluster11
0.962751,2,0,1,16220,cluster1
0.288767,2,0,1,16080,cluster1
0,0,3,1,12190,cluster11
1.1893,2,0,1,16210,cluster1
0.291787,2,0,1,16070,cluster1
0,0,3,1,12180,cluster11
0.528076,2,0,1,16060,cluster1
0,0,3,1,12170,cluster11
1.23079,2,0,1,16050,cluster1
0,0,3,1,12160,cluster11
0.76441,2,0,1,16040,cluster1
0,0,3,1,12150,cluster11
0.628336,2,0,1,16030,cluster1
0,0,3,1,12140,cluster11
2.00104,2,0,1,16020,cluster1
0,0,3,1,12130,cluster11
0,0,3,1,12120,cluster11
0,0,3,1,12110,cluster11
0.489034,3,0,1,16110,cluster3
0.86214,3,0,1,16100,cluster3
0.327,3,0,1,16090,cluster3
0.499616,3,0,1,16080,cluster3
0.350204,3,0,1,16070,cluster10
0.227972,3,0,1,16060,cluster10
0.072731,2,1,1,1390,cluster8
0.244403,3,0,1,16050,cluster10
0.061034,2,1,1,1380,cluster8
0.247607,3,0,1,16040,cluster10
0.085183,2,1,1,1370,cluster8
0.272919,3,0,1,16030,cluster10
0.037104,2,1,1,1360,cluster8
0.321183,3,0,1,16020,cluster10
0.0234,2,1,1,1350,cluster8
0.77555,2,1,1,1340,cluster8
0.508763,2,1,1,1330,cluster8
0.184687,2,1,1,1320,cluster8
0.170617,2,1,1,1310,cluster8
0.169887,2,1,1,1300,cluster8
0.241799,3,2,1,6300,cluster8
0.228384,3,2,1,6290,cluster8
0.227067,3,2,1,6280,cluster8
0.223734,3,2,1,6270,cluster8
0.226416,3,2,1,6260,cluster8
0.246383,3,2,1,6250,cluster8
0.350884,3,2,1,6240,cluster8
0.367166,3,2,1,6230,cluster8
0.473666,6,1,0,3300,cluster11
0.37125,3,2,1,6220,cluster8
0.369518,1,1,1,2200,cluster10
0.341567,6,1,0,3290,cluster11
0.371116,3,2,1,6210,cluster8
0.373534,1,1,1,2190,cluster10
0.299833,6,1,0,3280,cluster11
0.36575,1,1,1,2180,cluster10
0.207535,6,1,0,3270,cluster11
0,5,3,1,12300,cluster11
0.291067,1,1,1,2170,cluster10
0.134918,0,3,0,11200,cluster8
0.2054,6,1,0,3260,cluster11
0,5,3,1,12290,cluster11
