@relation mainC-refined-weka.filters.unsupervised.attribute.Remove-R7-26

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute ' phase ' {0,1,2,3}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
1.01958,3,0,1,17340,1.420917,cluster13
0.692717,3,0,1,17330,1.096683,cluster13
0.694601,3,0,1,17320,1.098967,cluster13
0.693566,3,0,1,17310,1.096883,cluster13
0.457889,1,3,1,11210,1.6289,cluster9
0.512306,1,3,1,11200,1.66887,cluster9
0.476873,1,3,1,11190,1.6448,cluster9
0.493133,1,3,1,11180,1.6435,cluster9
0.046504,6,0,0,21310,0.5339,cluster3
0.512783,1,3,1,11170,1.6514,cluster9
0.049806,6,0,0,21300,0.534883,cluster3
0,5,0,1,21220,0.979717, cluster3
0.526806,1,3,1,11160,1.65845,cluster9
0.05347,6,0,0,21290,0.539133,cluster3
0.48902,1,3,1,11150,1.66012,cluster9
0.051734,6,0,0,21280,0.538633,cluster3
0.502897,1,3,1,11140,1.66683,cluster9
0.053337,6,0,0,21270,0.5377,cluster3
0.649716,1,3,1,11130,1.65125,cluster9
0.056967,6,0,0,21260,0.535967,cluster5
0.56037,1,3,1,11120,1.59075,cluster9
0.050941,6,0,0,21250,0.52995,cluster3
0.057304,6,0,0,21240,0.527817,cluster3
0.074473,6,0,0,21230,0.532117,cluster3
0.07469,6,0,0,21220,0.53185,cluster3
0.781903,3,3,1,10400,1.84212,cluster15
0.744897,3,3,1,10390,1.84018,cluster15
0.70853,3,3,1,10380,1.80468,cluster3
0.708021,3,3,1,10370,1.80752,cluster3
0.584613,3,3,1,10360,2.09983,cluster3
0.547554,3,3,1,10350,2.20992,cluster3
0.555754,3,3,1,10340,2.22812,cluster3
0.546747,3,3,1,10330,2.22483,cluster3
1.69218,3,3,1,7400,2.565867,cluster13
0.540582,3,3,1,10320,2.21005,cluster3
1.71877,3,3,1,7390,2.354533,cluster13
0.53303,3,3,1,10310,2.21448,cluster3
1.76782,3,3,1,7380,2.1126,cluster13
1.78962,3,3,1,7370,2.129667,cluster17
1.0806,2,0,1,16400,2.03385,cluster15
1.80947,3,3,1,7360,2.14485,cluster17
1.00967,2,0,1,16390,1.97495,cluster15
1.81252,3,3,1,7350,2.152233,cluster17
0.677966,2,0,1,16380,1.655833,cluster15
1.81897,3,3,1,7340,2.166717,cluster17
0.679017,2,0,1,16370,1.631733,cluster15
2.08678,3,3,1,7330,2.43575,cluster17
0.675284,2,0,1,16360,1.641467,cluster15
2.22457,3,3,1,7320,2.585083,cluster17
0.675901,2,0,1,16350,1.630317,cluster15
1.62271,2,0,1,16210,3.34547,cluster15
2.17897,3,3,1,7310,2.541,cluster17
0.739899,2,0,1,16340,1.722233,cluster15
1.64166,2,0,1,16200,3.36147,cluster15
1.07945,2,0,1,16330,2.045283,cluster15
1.58377,2,0,1,16190,3.32695,cluster15
0,0,3,1,12300,0.859467,cluster5
0.917534,2,0,1,16320,1.911417,cluster15
1.74551,2,0,1,16180,3.36252,cluster15
0,0,3,1,12290,0.85885,cluster5
0.8914,2,0,1,16310,1.895783,cluster15
1.61568,2,0,1,16170,3.18387,cluster15
0,0,3,1,12280,0.859017,cluster5
0.18307,2,0,1,16160,1.73015,cluster15
0,0,3,1,12270,0.86085,cluster5
0.13281,2,0,1,16150,1.68752,cluster15
