@relation mainK-timed-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R5

@attribute 'dow ' {0,1,2,3,4,5,6}
@attribute ' phase ' {0,1,2,3}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute '03:OfficeOutlets* [kVA]' {0,1}
@attribute '04:LivingRoomOutlets* [kVA]' {0,1}
@attribute '05:GuestBathOutlets* [kVA]' {0,1}
@attribute '06:MasterBathOutlets* [kVA]' {0,1}
@attribute '07:LivingRoomPatioLights* [kVA]' {0,1}
@attribute '08:GuestBathHallLights* [kVA]' {0,1}
@attribute '09:DiningRoomOutlets* [kVA]' {0,1}
@attribute '10:OutsideOutlets* [kVA]' {0,1}
@attribute '11:CellarLights* [kVA]' {0,1}
@attribute '14:WashingMachine* [kVA]' {0,1}
@attribute '16:DisposalDishwasher* [kVA]' {0,1}
@attribute '17:Microwave* [kVA]' {0,1}
@attribute '18:KitchenLights* [kVA]' {0,1}
@attribute '19:BedroomOutlets* [kVA]' {0,1}
@attribute '20:BedroomLights* [kVA]' {0,1}
@attribute '21:MasterOutlets* [kVA]' {0,1}
@attribute '22:MasterLights* [kVA]' {0,1}
@attribute '24:CounterOutlets1* [kVA]' {0,1}
@attribute '25:CounterOutlets2* [kVA]' {0,1}
@attribute '26:KitchenOutlets* [kVA]' {0,1}

@data
6,0,0,16590,2.53272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16580,2.52357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16570,2.52583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16560,2.69608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16550,2.79227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16540,2.79813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16530,2.79935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16520,2.81073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16510,2.81043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16500,2.82643,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16490,2.61968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16480,1.26753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16470,1.14518,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16460,1.15867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16450,1.2832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
