refinedUse,' dow',' dType',' Time',' Cluster'
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.00128,2,1,3290,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.0998,2,1,3300,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
2.02865,2,1,3280,cluster18
