@relation 1train-c-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' phase' {0,1,2,3}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
1.5738,2,3,1,10210,cluster4
1.21542,4,2,1,4560,cluster14
1.21542,4,2,1,4560,cluster14
0.823517,2,0,1,15360,cluster8
0.041067,5,1,1,1140,cluster11
1.72683,3,2,1,6310,cluster5
0.657634,1,2,1,5150,cluster9
0.657634,1,2,1,5150,cluster9
1.5738,2,3,1,10210,cluster4
0.021154,6,2,0,5050,cluster11
2.93678,1,0,1,16250,cluster17
0.453864,4,1,1,310,cluster7
0.453864,4,1,1,310,cluster7
1.21542,4,2,1,4560,cluster14
1.21542,4,2,1,4560,cluster14
1.72683,3,2,1,6310,cluster5
0,5,0,1,19530,cluster11
0.6607,4,0,1,14300,cluster3
1.46687,3,2,1,6470,cluster4
1.91665,4,1,1,2450,cluster5
1.46687,3,2,1,6470,cluster4
0.309817,0,3,0,11270,cluster16
2.29703,1,1,1,0,cluster15
2.29703,1,1,1,0,cluster15
0.70605,6,1,0,2100,cluster2
0.70605,6,1,0,2100,cluster2
1.47595,1,0,1,16180,cluster17
0.70605,6,1,0,2100,cluster2
0.70605,6,1,0,2100,cluster2
0.6607,4,0,1,14300,cluster3
2.29703,1,1,1,0,cluster15
2.29703,1,1,1,0,cluster15
1.07783,1,0,1,15570,cluster8
1.91665,4,1,1,2450,cluster5
1.47595,1,0,1,16180,cluster17
0.560382,1,1,1,590,cluster2
0.560382,1,1,1,590,cluster2
0.309817,0,3,0,11270,cluster16
2.29703,1,1,1,0,cluster15
2.29703,1,1,1,0,cluster15
1.3659,1,3,1,8180,cluster4
0.420833,5,1,0,2340,cluster3
1.47595,1,0,1,16180,cluster17
0.560382,1,1,1,590,cluster2
0.560382,1,1,1,590,cluster2
0.6607,4,0,1,14300,cluster3
2.29703,1,1,1,0,cluster15
2.29703,1,1,1,0,cluster15
1.3659,1,3,1,8180,cluster4
1.47595,1,0,1,16180,cluster17
0.560382,1,1,1,590,cluster2
0.560382,1,1,1,590,cluster2
1.0555,5,3,0,12240,cluster9
1.0555,5,3,0,12240,cluster9
1.46125,4,2,1,4510,cluster14
1.46125,4,2,1,4510,cluster14
0.412534,4,0,1,14230,cluster8
1.46125,4,2,1,4510,cluster14
1.46125,4,2,1,4510,cluster14
1.44168,3,1,1,1170,cluster5
0.296118,5,1,1,480,cluster7
0.296118,5,1,1,480,cluster7
0.296118,5,1,1,480,cluster7
0.296118,5,1,1,480,cluster7
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
0.48245,5,1,0,2360,cluster3
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
0.48245,5,1,0,2360,cluster3
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
0.48245,5,1,0,2360,cluster3
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
1.30502,1,0,1,17300,cluster17
1.34923,4,2,1,4210,cluster14
1.34923,4,2,1,4210,cluster14
1.97103,3,3,1,7180,cluster19
0.97395,2,2,1,4030,cluster18
2.01098,3,2,1,6060,cluster19
2.18248,3,2,1,6110,cluster19
0.97395,2,2,1,4030,cluster18
0.947433,2,2,1,4040,cluster18
2.01098,3,2,1,6060,cluster19
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
0.665566,5,3,0,12130,cluster9
0.665566,5,3,0,12130,cluster9
0.97395,2,2,1,4030,cluster18
2.18248,3,2,1,6110,cluster19
0.198883,6,3,0,9490,cluster8
2.31292,4,2,1,6240,cluster4
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
0.947433,2,2,1,4040,cluster18
2.01098,3,2,1,6060,cluster19
0.57655,1,0,1,15360,cluster8
0.665566,5,3,0,12130,cluster9
0.665566,5,3,0,12130,cluster9
0.97395,2,2,1,4030,cluster18
2.31292,4,2,1,6240,cluster4
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
2.18248,3,2,1,6110,cluster19
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
0.947433,2,2,1,4040,cluster18
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
0.665566,5,3,0,12130,cluster9
0.665566,5,3,0,12130,cluster9
0.034233,5,0,1,19360,cluster11
1.83197,3,2,1,6580,cluster19
0.411083,6,1,0,190,cluster15
0.411083,6,1,0,190,cluster15
2.18248,3,2,1,6110,cluster19
1.90042,3,0,1,15270,cluster8
1.90042,3,0,1,15270,cluster8
0.834049,5,3,1,11280,cluster8
1.6532,4,2,1,5310,cluster4
1.83197,3,2,1,6580,cluster19
1.07427,2,2,1,4010,cluster18
0.934684,3,1,1,300,cluster7
0.934684,3,1,1,300,cluster7
1.95895,4,1,1,3120,cluster5
0.03215,5,0,1,19350,cluster11
2.05468,3,3,1,7010,cluster19
3.56533,0,0,1,16090,cluster16
0.544701,4,0,1,19510,cluster8
0.205967,5,3,0,7390,cluster8
2.056,3,3,1,7000,cluster19
1.6532,4,2,1,5310,cluster4
1.83197,3,2,1,6580,cluster19
2.05468,3,3,1,7010,cluster19
1.07427,2,2,1,4010,cluster18
0.692066,4,0,1,14200,cluster3
1.55205,2,3,1,10310,cluster4
2.056,3,3,1,7000,cluster19
1.95895,4,1,1,3120,cluster5
1.07427,2,2,1,4010,cluster18
0.368713,6,3,0,10430,cluster15
0.368713,6,3,0,10430,cluster15
1.55205,2,3,1,10310,cluster4
2.05468,3,3,1,7010,cluster19
1.12367,5,1,0,2370,cluster3
0.692066,4,0,1,14200,cluster3
0.3543,1,1,1,520,cluster2
0.3543,1,1,1,520,cluster2
1.55205,2,3,1,10310,cluster4
2.05468,3,3,1,7010,cluster19
3.56533,0,0,1,16090,cluster16
1.07427,2,2,1,4010,cluster18
1.26575,1,1,1,160,cluster2
1.26575,1,1,1,160,cluster2
1.55205,2,3,1,10310,cluster4
2.05468,3,3,1,7010,cluster19
1.6532,4,2,1,5310,cluster4
0.692066,4,0,1,14200,cluster3
0.368713,6,3,0,10430,cluster15
0.368713,6,3,0,10430,cluster15
1.55205,2,3,1,10310,cluster4
2.05468,3,3,1,7010,cluster19
1.07427,2,2,1,4010,cluster18
1.26575,1,1,1,160,cluster2
1.26575,1,1,1,160,cluster2
0.912249,3,1,1,430,cluster7
0.912249,3,1,1,430,cluster7
0,0,3,1,11130,cluster11
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
0.368713,6,3,0,10430,cluster15
0.368713,6,3,0,10430,cluster15
0.912249,3,1,1,430,cluster7
0.912249,3,1,1,430,cluster7
0,0,3,1,11130,cluster11
0.692066,4,0,1,14200,cluster3
0.3543,1,1,1,520,cluster2
0.3543,1,1,1,520,cluster2
1.07427,2,2,1,4010,cluster18
1.26575,1,1,1,160,cluster2
1.26575,1,1,1,160,cluster2
0.337033,6,3,0,10420,cluster15
0.337033,6,3,0,10420,cluster15
0.3543,1,1,1,520,cluster2
0.3543,1,1,1,520,cluster2
0.657634,1,2,1,5150,cluster9
0.657634,1,2,1,5150,cluster9
1.5738,2,3,1,10210,cluster4
2.93678,1,0,1,16250,cluster17
0.453864,4,1,1,310,cluster7
0.453864,4,1,1,310,cluster7
1.72683,3,2,1,6310,cluster5
0.657634,1,2,1,5150,cluster9
0.657634,1,2,1,5150,cluster9
1.21542,4,2,1,4560,cluster14
1.21542,4,2,1,4560,cluster14
0.657634,1,2,1,5150,cluster9
0.657634,1,2,1,5150,cluster9
1.5738,2,3,1,10210,cluster4
1.72683,3,2,1,6310,cluster5
0.36598,2,1,1,470,cluster2
0.36598,2,1,1,470,cluster2
2.93678,1,0,1,16250,cluster17
0.453864,4,1,1,310,cluster7
0.453864,4,1,1,310,cluster7
1.72683,3,2,1,6310,cluster5
1.21542,4,2,1,4560,cluster14
1.21542,4,2,1,4560,cluster14
0.065553,5,1,1,1130,cluster11
1.72683,3,2,1,6310,cluster5
0,5,0,1,19520,cluster11
1.91665,4,1,1,2450,cluster5
0.309817,0,3,0,11270,cluster16
1.3659,1,3,1,8180,cluster4
0.6607,4,0,1,14300,cluster3
0.560382,1,1,1,590,cluster2
0.560382,1,1,1,590,cluster2
1.91665,4,1,1,2450,cluster5
0.770801,4,2,1,4260,cluster14
0.770801,4,2,1,4260,cluster14
1.3659,1,3,1,8180,cluster4
0.309817,0,3,0,11270,cluster16
