refinedUse, dow, phase, dType, Time, Date & Time, use [kW], Cluster
 1.5738 , 2,3,1,10210,' 2014-06-10 17:21:00',3.078817,cluster4
 1.21542 , 4,2,1,4560,' 2014-06-19 11:56:00',2.374833,cluster14
 1.21542 , 4,2,1,4560,' 2014-06-19 11:56:00',2.374833,cluster14
 0.823517 , 2,0,1,15360,' 2014-06-10 22:36:00',1.191633,cluster8
 0.041067 , 5,1,1,1140,' 2014-05-30 08:14:00',1.06978,cluster11
 1.72683 , 3,2,1,6310,' 2014-06-25 13:31:00',5.081233,cluster5
 0.657634 , 1,2,1,5150,' 2014-06-09 12:15:00',1.6386,cluster9
 0.657634 , 1,2,1,5150,' 2014-06-09 12:15:00',1.6386,cluster9
 1.5738 , 2,3,1,10210,' 2014-06-10 17:21:00',3.078817,cluster4
 0.021154 , 6,2,0,5050,' 2014-06-07 12:05:00',1.67477,cluster11
 2.93678 , 1,0,1,16250,' 2014-06-30 23:25:00',8.692283,cluster17
 0.453864 , 4,1,1,310,' 2014-05-29 07:31:00',1.01193,cluster7
 0.453864 , 4,1,1,310,' 2014-05-29 07:31:00',1.01193,cluster7
 1.21542 , 4,2,1,4560,' 2014-06-19 11:56:00',2.374833,cluster14
 1.21542 , 4,2,1,4560,' 2014-06-19 11:56:00',2.374833,cluster14
 1.72683 , 3,2,1,6310,' 2014-06-25 13:31:00',5.081233,cluster5
 0 , 5,0,1,19530,' 2014-06-06 02:53:00',0.978567,cluster11
 0.6607 , 4,0,1,14300,' 2014-06-05 21:30:00',0.8181,cluster3
 1.46687 , 3,2,1,6470,' 2014-07-02 13:47:00',3.653583,cluster4
 1.91665 , 4,1,1,2450,' 2014-07-03 09:45:00',4.97615,cluster5
 1.46687 , 3,2,1,6470,' 2014-07-02 13:47:00',3.653583,cluster4
 0.309817 , 0,3,0,11270,' 2014-06-15 18:27:00',1.851483,cluster16
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 0.70605 , 6,1,0,2100,' 2014-06-21 09:10:00',1.138217,cluster2
 0.70605 , 6,1,0,2100,' 2014-06-21 09:10:00',1.138217,cluster2
 1.47595 , 1,0,1,16180,' 2014-06-30 23:18:00',7.203217,cluster17
 0.70605 , 6,1,0,2100,' 2014-06-21 09:10:00',1.138217,cluster2
 0.70605 , 6,1,0,2100,' 2014-06-21 09:10:00',1.138217,cluster2
 0.6607 , 4,0,1,14300,' 2014-06-05 21:30:00',0.8181,cluster3
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 1.07783 , 1,0,1,15570,' 2014-06-16 22:57:00',1.937433,cluster8
 1.91665 , 4,1,1,2450,' 2014-07-03 09:45:00',4.97615,cluster5
 1.47595 , 1,0,1,16180,' 2014-06-30 23:18:00',7.203217,cluster17
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 0.309817 , 0,3,0,11270,' 2014-06-15 18:27:00',1.851483,cluster16
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 1.3659 , 1,3,1,8180,' 2014-06-09 15:18:00',4.270783,cluster4
 0.420833 , 5,1,0,2340,' 2014-07-04 09:34:00',2.001433,cluster3
 1.47595 , 1,0,1,16180,' 2014-06-30 23:18:00',7.203217,cluster17
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 0.6607 , 4,0,1,14300,' 2014-06-05 21:30:00',0.8181,cluster3
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 2.29703 , 1,1,1,0,' 2014-06-02 07:00:00',3.31288,cluster15
 1.3659 , 1,3,1,8180,' 2014-06-09 15:18:00',4.270783,cluster4
 1.47595 , 1,0,1,16180,' 2014-06-30 23:18:00',7.203217,cluster17
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 0.560382 , 1,1,1,590,' 2014-06-09 07:59:00',1.720233,cluster2
 1.0555 , 5,3,0,12240,' 2014-07-04 19:24:00',2.232733,cluster9
 1.0555 , 5,3,0,12240,' 2014-07-04 19:24:00',2.232733,cluster9
 1.46125 , 4,2,1,4510,' 2014-06-19 11:51:00',2.470733,cluster14
 1.46125 , 4,2,1,4510,' 2014-06-19 11:51:00',2.470733,cluster14
 0.412534 , 4,0,1,14230,' 2014-06-12 21:23:00',0.8835,cluster8
 1.46125 , 4,2,1,4510,' 2014-06-19 11:51:00',2.470733,cluster14
 1.46125 , 4,2,1,4510,' 2014-06-19 11:51:00',2.470733,cluster14
 1.44168 , 3,1,1,1170,' 2014-07-02 08:17:00',1.91195,cluster5
 0.296118 , 5,1,1,480,' 2014-06-20 07:48:00',1.420617,cluster7
 0.296118 , 5,1,1,480,' 2014-06-20 07:48:00',1.420617,cluster7
 0.296118 , 5,1,1,480,' 2014-06-20 07:48:00',1.420617,cluster7
 0.296118 , 5,1,1,480,' 2014-06-20 07:48:00',1.420617,cluster7
 1.34923 , 4,2,1,4210,' 2014-06-19 11:21:00',2.958333,cluster14
 1.34923 , 4,2,1,4210,' 2014-06-19 11:21:00',2.958333,cluster14
 0.48245 , 5,1,0,2360,' 2014-07-04 09:36:00',2.197083,cluster3
