@relation 1train-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R3

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
1.83197,3,1,6580,cluster19
0.15375,3,1,9520,cluster8
0.059466,4,1,21320,cluster13
1.83197,3,1,6580,cluster19
1.02045,2,1,21210,cluster1
0.17975,3,1,8290,cluster8
0.544701,4,1,19510,cluster8
1.83197,3,1,6580,cluster19
0.186284,3,1,8280,cluster8
0.9393,1,1,15480,cluster6
1.83197,3,1,6580,cluster19
0.373651,1,1,6240,cluster10
0.165533,3,1,8270,cluster8
0.9393,1,1,15480,cluster6
1.83197,3,1,6580,cluster19
0.373651,1,1,6240,cluster10
0.0049,4,1,10150,cluster0
0.373651,1,1,6240,cluster10
0.0049,4,1,10150,cluster0
0.369899,1,1,6230,cluster10
0.0049,4,1,10150,cluster0
0.369899,1,1,6230,cluster10
0.64685,0,0,20,cluster8
0.176832,0,0,19170,cluster13
1.11363,5,0,2330,cluster3
1.11363,5,0,2330,cluster3
0.366801,4,1,15540,cluster17
1.11363,5,0,2330,cluster3
0.366801,4,1,15540,cluster17
1.11363,5,0,2330,cluster3
0.656867,4,1,14280,cluster3
0.366801,4,1,15540,cluster17
1.11363,5,0,2330,cluster3
0.656867,4,1,14280,cluster3
0.366801,4,1,15540,cluster17
1.11363,5,0,2330,cluster3
0.656867,4,1,14280,cluster3
0.366801,4,1,15540,cluster17
0.656867,4,1,14280,cluster3
0.366801,4,1,15540,cluster17
0.656867,4,1,14280,cluster3
0.366801,4,1,15540,cluster17
0,4,1,11360,cluster11
0.366801,4,1,15540,cluster17
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.656867,4,1,14280,cluster3
0.656867,4,1,14280,cluster3
1.42123,4,1,5340,cluster14
0.926866,1,1,14430,cluster1
1.42123,4,1,5340,cluster14
0,0,0,4380,cluster11
1.42123,4,1,5340,cluster14
0,0,0,4380,cluster11
1.42123,4,1,5340,cluster14
0.660568,1,1,23450,cluster1
1.42123,4,1,5340,cluster14
0.660568,1,1,23450,cluster1
1.42123,4,1,5340,cluster14
0.015734,0,0,4370,cluster11
1.42123,4,1,5340,cluster14
1.42123,4,1,5340,cluster14
1.42123,4,1,5340,cluster14
0.184583,6,0,15520,cluster11
1.42123,4,1,5340,cluster14
0.002117,0,0,4360,cluster11
0.856066,4,1,1100,cluster15
0.856066,4,1,1100,cluster15
0.400867,5,1,10530,cluster7
0.856066,4,1,1100,cluster15
1.72613,2,1,15490,cluster1
0.856066,4,1,1100,cluster15
0.6211,0,0,4380,cluster0
0.856066,4,1,1100,cluster15
1.59608,3,1,7040,cluster4
0.856066,4,1,1100,cluster15
0.174114,2,1,1270,cluster8
1.59608,3,1,7040,cluster4
0.857834,6,0,10450,cluster2
0.06727,6,0,21020,cluster13
1.59608,3,1,7040,cluster4
0.856066,4,1,1100,cluster15
0.530417,6,0,11410,cluster2
1.59608,3,1,7040,cluster4
0.856066,4,1,1100,cluster15
0.857834,6,0,10450,cluster2
0.530417,6,0,11410,cluster2
1.59608,3,1,7040,cluster4
0.857834,6,0,10450,cluster2
0.530417,6,0,11410,cluster2
1.59608,3,1,7040,cluster4
0.857834,6,0,10450,cluster2
0.727163,3,1,12280,cluster6
0.530417,6,0,11410,cluster2
1.59608,3,1,7040,cluster4
0.857834,6,0,10450,cluster2
0.727163,3,1,12280,cluster6
0.028787,3,1,15530,cluster10
0.727163,3,1,12280,cluster6
0.530417,6,0,11410,cluster2
0.028787,3,1,15530,cluster10
0.216767,6,0,4350,cluster8
0.330283,1,1,50,cluster15
0.028787,3,1,15530,cluster10
1.22392,2,1,14520,cluster1
0.330283,1,1,50,cluster15
1.09053,5,0,6200,cluster16
2.11965,6,0,11470,cluster2
0.330283,1,1,50,cluster15
1.09053,5,0,6200,cluster16
0,4,1,20440,cluster8
0.330283,1,1,50,cluster15
2.35315,1,1,10260,cluster16
0.735679,3,1,12270,cluster6
1.09053,5,0,6200,cluster16
0.330283,1,1,50,cluster15
2.35315,1,1,10260,cluster16
1.09053,5,0,6200,cluster16
2.35315,1,1,10260,cluster16
0.116216,1,1,6510,cluster13
1.09053,5,0,6200,cluster16
0,3,1,5460,cluster8
0.330283,1,1,50,cluster15
2.35315,1,1,10260,cluster16
0.197186,0,0,15400,cluster0
1.09053,5,0,6200,cluster16
1.36757,1,1,10370,cluster1
0.330283,1,1,50,cluster15
2.35315,1,1,10260,cluster16
1.09053,5,0,6200,cluster16
1.36757,1,1,10370,cluster1
0.330283,1,1,50,cluster15
2.35315,1,1,10260,cluster16
0.197186,0,0,15400,cluster0
1.09053,5,0,6200,cluster16
0.054363,6,0,23420,cluster10
2.35315,1,1,10260,cluster16
0.172384,0,0,15390,cluster0
1.09053,5,0,6200,cluster16
0.054363,6,0,23420,cluster10
2.35315,1,1,10260,cluster16
0.172384,0,0,15390,cluster0
1.09053,5,0,6200,cluster16
0.054363,6,0,23420,cluster10
2.35315,1,1,10260,cluster16
0.172384,0,0,15390,cluster0
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
1.37293,4,1,5230,cluster14
1.37293,4,1,5230,cluster14
0.9393,1,1,15480,cluster6
1.83197,3,1,6580,cluster19
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.369899,1,1,6230,cluster10
1.83197,3,1,6580,cluster19
0.36105,1,1,6220,cluster10
0.176832,0,0,19170,cluster13
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.36105,1,1,6220,cluster10
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.36105,1,1,6220,cluster10
0.578784,3,1,21090,cluster8
0.523566,4,1,1320,cluster15
1.83197,3,1,6580,cluster19
0.052506,0,0,15110,cluster0
0.718099,5,1,1110,cluster7
0.523566,4,1,1320,cluster15
0.34655,4,1,21540,cluster1
0.052506,0,0,15110,cluster0
0.718099,5,1,1110,cluster7
0.523566,4,1,1320,cluster15
