refinedUse, dow, phase, dType, Time, Date & Time, use [kW], Cluster
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.15375 , 3,3,1,9520,' 2014-06-11 16:52:00',0.5245,cluster8
 0.059466 , 4,0,1,21320,' 2014-05-29 04:32:00',0.42345,cluster11
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 1.02045 , 2,0,1,21210,' 2014-07-01 04:21:00',1.859583,cluster8
 0.17975 , 3,3,1,8290,' 2014-06-11 15:29:00',0.621483,cluster8
 0.544701 , 4,0,1,19510,' 2014-06-19 02:51:00',1.733233,cluster8
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.186284 , 3,3,1,8280,' 2014-06-11 15:28:00',0.619067,cluster8
 0.9393 , 1,0,1,15480,' 2014-06-30 22:48:00',1.591767,cluster8
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.373651 , 1,2,1,6240,' 2014-06-23 13:24:00',0.64335,cluster11
 0.165533 , 3,3,1,8270,' 2014-06-11 15:27:00',0.625683,cluster8
 0.9393 , 1,0,1,15480,' 2014-06-30 22:48:00',1.591767,cluster8
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.373651 , 1,2,1,6240,' 2014-06-23 13:24:00',0.64335,cluster11
 0.0049 , 4,3,1,10150,' 2014-06-12 17:15:00',0.86625,cluster11
 0.373651 , 1,2,1,6240,' 2014-06-23 13:24:00',0.64335,cluster11
 0.0049 , 4,3,1,10150,' 2014-06-12 17:15:00',0.86625,cluster11
 0.369899 , 1,2,1,6230,' 2014-06-23 13:23:00',0.641067,cluster11
 0.0049 , 4,3,1,10150,' 2014-06-12 17:15:00',0.86625,cluster11
 0.369899 , 1,2,1,6230,' 2014-06-23 13:23:00',0.641067,cluster11
 0.64685 , 0,1,0,20,' 2014-06-08 07:02:00',0.8319,cluster8
 0.176832 , 0,0,0,19170,' 2014-06-01 02:17:00',0.505133,cluster11
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 1.11363 , 5,1,0,2330,' 2014-07-04 09:33:00',2.702,cluster3
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 0 , 4,3,1,11360,' 2014-06-26 18:36:00',1.29725,cluster11
 0.366801 , 4,0,1,15540,' 2014-06-12 22:54:00',1.383383,cluster17
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.926866 , 1,0,1,14430,' 2014-06-16 21:43:00',1.0983,cluster8
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0 , 0,2,0,4380,' 2014-06-01 11:38:00',0.87985,cluster11
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0 , 0,2,0,4380,' 2014-06-01 11:38:00',0.87985,cluster11
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.660568 , 1,0,1,23450,' 2014-06-09 06:45:00',1.818067,cluster8
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.660568 , 1,0,1,23450,' 2014-06-09 06:45:00',1.818067,cluster8
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.015734 , 0,2,0,4370,' 2014-06-01 11:37:00',0.89805,cluster11
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.184583 , 6,0,0,15520,' 2014-06-28 22:52:00',0.273233,cluster11
 1.42123 , 4,2,1,5340,' 2014-06-19 12:34:00',2.834017,cluster14
 0.002117 , 0,2,0,4360,' 2014-06-01 11:36:00',0.901267,cluster11
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.400867 , 5,3,1,10530,' 2014-05-30 17:53:00',2.15048,cluster7
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 1.72613 , 2,0,1,15490,' 2014-06-17 22:49:00',2.412667,cluster8
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.6211 , 0,2,0,4380,' 2014-06-08 11:38:00',2.059983,cluster11
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.174114 , 2,1,1,1270,' 2014-06-03 08:27:00',1.02178,cluster8
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.857834 , 6,3,0,10450,' 2014-06-21 17:45:00',4.490467,cluster2
 0.06727 , 6,0,0,21020,' 2014-05-31 04:02:00',0.85515,cluster11
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.530417 , 6,3,0,11410,' 2014-07-05 18:41:00',1.510367,cluster2
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.856066 , 4,1,1,1100,' 2014-06-19 08:10:00',1.396967,cluster15
 0.857834 , 6,3,0,10450,' 2014-06-21 17:45:00',4.490467,cluster2
 0.530417 , 6,3,0,11410,' 2014-07-05 18:41:00',1.510367,cluster2
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.857834 , 6,3,0,10450,' 2014-06-21 17:45:00',4.490467,cluster2
 0.530417 , 6,3,0,11410,' 2014-07-05 18:41:00',1.510367,cluster2
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.857834 , 6,3,0,10450,' 2014-06-21 17:45:00',4.490467,cluster2
 0.727163 , 3,3,1,12280,' 2014-06-04 19:28:00',2.37183,cluster8
 0.530417 , 6,3,0,11410,' 2014-07-05 18:41:00',1.510367,cluster2
 1.59608 , 3,3,1,7040,' 2014-07-02 14:04:00',2.90825,cluster4
 0.857834 , 6,3,0,10450,' 2014-06-21 17:45:00',4.490467,cluster2
 0.727163 , 3,3,1,12280,' 2014-06-04 19:28:00',2.37183,cluster8
 0.028787 , 3,0,1,15530,' 2014-05-28 22:53:00',1.15542,cluster11
 0.727163 , 3,3,1,12280,' 2014-06-04 19:28:00',2.37183,cluster8
 0.530417 , 6,3,0,11410,' 2014-07-05 18:41:00',1.510367,cluster2
 0.028787 , 3,0,1,15530,' 2014-05-28 22:53:00',1.15542,cluster11
 0.216767 , 6,2,0,4350,' 2014-06-21 11:35:00',1.235517,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 0.028787 , 3,0,1,15530,' 2014-05-28 22:53:00',1.15542,cluster11
 1.22392 , 2,0,1,14520,' 2014-06-10 21:52:00',2.213317,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 2.11965 , 6,3,0,11470,' 2014-07-05 18:47:00',2.76605,cluster2
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0 , 4,0,1,20440,' 2014-06-19 03:44:00',1.3569,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.735679 , 3,3,1,12270,' 2014-06-04 19:27:00',2.36733,cluster8
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.116216 , 1,2,1,6510,' 2014-06-23 13:51:00',0.937867,cluster11
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0 , 3,2,1,5460,' 2014-06-11 12:46:00',2.769333,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.197186 , 0,0,0,15400,' 2014-05-25 22:40:00',0.625433,cluster11
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 1.36757 , 1,3,1,10370,' 2014-06-23 17:37:00',2.5354,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 1.36757 , 1,3,1,10370,' 2014-06-23 17:37:00',2.5354,cluster8
 0.330283 , 1,1,1,50,' 2014-06-02 07:05:00',1.35425,cluster15
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.197186 , 0,0,0,15400,' 2014-05-25 22:40:00',0.625433,cluster11
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0.054363 , 6,0,0,23420,' 2014-06-07 06:42:00',1.23208,cluster11
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.172384 , 0,0,0,15390,' 2014-05-25 22:39:00',0.620117,cluster11
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0.054363 , 6,0,0,23420,' 2014-06-07 06:42:00',1.23208,cluster11
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.172384 , 0,0,0,15390,' 2014-05-25 22:39:00',0.620117,cluster11
 1.09053 , 5,2,0,6200,' 2014-07-04 13:20:00',1.531417,cluster16
 0.054363 , 6,0,0,23420,' 2014-06-07 06:42:00',1.23208,cluster11
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 0.172384 , 0,0,0,15390,' 2014-05-25 22:39:00',0.620117,cluster11
 2.35315 , 1,3,1,10260,' 2014-06-23 17:26:00',3.492033,cluster16
 1.37293 , 4,2,1,5230,' 2014-06-19 12:23:00',2.804433,cluster14
 1.37293 , 4,2,1,5230,' 2014-06-19 12:23:00',2.804433,cluster14
 1.37293 , 4,2,1,5230,' 2014-06-19 12:23:00',2.804433,cluster14
 0.9393 , 1,0,1,15480,' 2014-06-30 22:48:00',1.591767,cluster8
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.369899 , 1,2,1,6230,' 2014-06-23 13:23:00',0.641067,cluster11
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.36105 , 1,2,1,6220,' 2014-06-23 13:22:00',0.639917,cluster11
 0.176832 , 0,0,0,19170,' 2014-06-01 02:17:00',0.505133,cluster11
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.36105 , 1,2,1,6220,' 2014-06-23 13:22:00',0.639917,cluster11
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.36105 , 1,2,1,6220,' 2014-06-23 13:22:00',0.639917,cluster11
 0.578784 , 3,0,1,21090,' 2014-07-02 04:09:00',1.574633,cluster8
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 1.83197 , 3,2,1,6580,' 2014-06-25 13:58:00',4.748183,cluster19
 0.052506 , 0,0,0,15110,' 2014-05-25 22:11:00',0.92665,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 0.34655 , 4,0,1,21540,' 2014-07-03 04:54:00',1.6718,cluster8
 0.052506 , 0,0,0,15110,' 2014-05-25 22:11:00',0.92665,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.523566 , 4,1,1,1320,' 2014-06-19 08:32:00',1.495383,cluster15
 0.34655 , 4,0,1,21540,' 2014-07-03 04:54:00',1.6718,cluster8
 0.052506 , 0,0,0,15110,' 2014-05-25 22:11:00',0.92665,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.364117 , 1,2,1,6210,' 2014-06-23 13:21:00',0.640083,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.364117 , 1,2,1,6210,' 2014-06-23 13:21:00',0.640083,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.364117 , 1,2,1,6210,' 2014-06-23 13:21:00',0.640083,cluster11
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.718099 , 5,1,1,1110,' 2014-06-20 08:11:00',1.09675,cluster7
 0.091195 , 6,2,0,4580,' 2014-06-07 11:58:00',1.48188,cluster11
 0.091195 , 6,2,0,4580,' 2014-06-07 11:58:00',1.48188,cluster11
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.091195 , 6,2,0,4580,' 2014-06-07 11:58:00',1.48188,cluster11
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.436867 , 2,1,1,400,' 2014-06-03 07:40:00',2.05325,cluster8
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.436867 , 2,1,1,400,' 2014-06-03 07:40:00',2.05325,cluster8
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0 , 1,0,1,19240,' 2014-05-26 02:24:00',1.19985,cluster11
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0 , 1,0,1,19240,' 2014-05-26 02:24:00',1.19985,cluster11
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
 0.95645 , 5,3,0,12070,' 2014-07-04 19:07:00',2.0799,cluster9
 0.345449 , 4,0,1,20390,' 2014-06-19 03:39:00',1.426817,cluster8
 0.656867 , 4,0,1,14280,' 2014-06-05 21:28:00',0.817283,cluster3
