@relation c1train-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
0.727163,3,1,12280,cluster15
0.216767,6,0,4350,cluster13
1.22392,2,1,14520,cluster17
1.22392,2,1,14520,cluster17
1.22392,2,1,14520,cluster17
1.22392,2,1,14520,cluster17
0.735679,3,1,12270,cluster15
1.2968,1,1,1460,cluster13
0.226234,6,0,4340,cluster13
0.556,5,0,11590,cluster15
0.817246,3,1,12260,cluster15
0.875816,0,0,10490,cluster15
0.2169,6,0,4330,cluster13
1.06338,2,1,14510,cluster17
1.06338,2,1,14510,cluster17
1.06338,2,1,14510,cluster17
1.06338,2,1,14510,cluster17
0.98797,3,1,12250,cluster15
1.39473,1,1,1450,cluster13
0.55025,5,0,11580,cluster15
0.873366,0,0,10480,cluster15
1.4053,1,1,1440,cluster13
0.481283,5,0,11570,cluster15
0,6,0,19150,cluster4
0,6,0,19150,cluster4
0,6,0,19150,cluster4
0,6,0,19150,cluster4
0,6,0,19140,cluster4
0,6,0,19140,cluster4
0,6,0,19140,cluster4
0,6,0,19140,cluster4
0,6,0,19130,cluster4
0,6,0,19130,cluster4
0,6,0,19130,cluster4
0,6,0,19130,cluster4
0.1015,5,1,16200,cluster5
0.1015,5,1,16200,cluster5
0,6,0,19120,cluster4
0,6,0,19120,cluster4
0,6,0,19120,cluster4
0,6,0,19120,cluster4
0.101717,5,1,16190,cluster5
0.101717,5,1,16190,cluster5
0,6,0,19110,cluster4
0,6,0,19110,cluster4
0,6,0,19110,cluster4
0,6,0,19110,cluster4
0.1013,5,1,16180,cluster5
0.1013,5,1,16180,cluster5
0,5,1,16170,cluster5
0,5,1,16170,cluster5
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.667683,5,1,1200,cluster10
0.652418,1,1,8280,cluster13
0.209584,6,0,9380,cluster13
0.6755,1,1,8270,cluster13
0.469567,2,1,14490,cluster15
0,4,1,17300,cluster3
0,4,1,17300,cluster3
0.462183,4,1,20420,cluster13
0.203349,6,0,9370,cluster13
0.048633,3,1,5450,cluster12
0.048633,3,1,5450,cluster12
0.048633,3,1,5450,cluster12
0.048633,3,1,5450,cluster12
0.632249,1,1,8260,cluster13
0.6696,2,1,14480,cluster17
0.6696,2,1,14480,cluster17
0.6696,2,1,14480,cluster17
0.6696,2,1,14480,cluster17
0,4,1,17290,cluster3
0,4,1,17290,cluster3
0.196633,6,0,9360,cluster13
0,6,0,18050,cluster4
0,6,0,18050,cluster4
0,6,0,18050,cluster4
0,6,0,18050,cluster4
0.029051,3,1,5440,cluster12
0.029051,3,1,5440,cluster12
0.029051,3,1,5440,cluster12
0.029051,3,1,5440,cluster12
0.633133,1,1,8250,cluster13
0.248468,3,1,9010,cluster13
1.24405,2,1,14470,cluster17
1.24405,2,1,14470,cluster17
1.24405,2,1,14470,cluster17
1.24405,2,1,14470,cluster17
0,4,1,17280,cluster3
0,4,1,17280,cluster3
0,6,0,18040,cluster4
0,6,0,18040,cluster4
0,6,0,18040,cluster4
0,6,0,18040,cluster4
0.022066,3,1,5430,cluster12
0.022066,3,1,5430,cluster12
0.022066,3,1,5430,cluster12
0.022066,3,1,5430,cluster12
0,6,0,18030,cluster4
0,6,0,18030,cluster4
0,6,0,18030,cluster4
0,6,0,18030,cluster4
1.2402,2,1,14460,cluster17
1.2402,2,1,14460,cluster17
1.2402,2,1,14460,cluster17
1.2402,2,1,14460,cluster17
0,5,1,15100,cluster5
0,5,1,15100,cluster5
1.19247,1,1,1400,cluster13
0,6,0,18020,cluster3
0,6,0,18020,cluster3
0,5,1,15090,cluster5
