@relation mrgB-3train

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.739751,6,0,270,cluster2
1.95515,0,0,7510,cluster9
1.432,4,1,2480,cluster14
0.739751,6,0,270,cluster2
1.95515,0,0,7510,cluster9
1.432,4,1,2480,cluster14
0.739751,6,0,270,cluster2
1.95515,0,0,7510,cluster9
1.432,4,1,2480,cluster14
0.739751,6,0,270,cluster2
1.95515,0,0,7510,cluster9
1.432,4,1,2480,cluster14
1.95515,0,0,7510,cluster9
0.4108,0,0,3310,cluster8
1.95515,0,0,7510,cluster9
1.95515,0,0,7510,cluster9
1.95515,0,0,7510,cluster9
0.01397,6,0,9460,cluster11
2.15865,0,0,8140,cluster9
2.15865,0,0,8140,cluster9
1.49762,4,1,8380,cluster14
2.15865,0,0,8140,cluster9
1.49762,4,1,8380,cluster14
0.64813,0,0,23300,cluster15
1.49762,4,1,8380,cluster14
0.64813,0,0,23300,cluster15
0.64813,0,0,23300,cluster15
1.49762,4,1,8380,cluster14
0.222403,5,1,390,cluster6
0.64813,0,0,23300,cluster15
1.49762,4,1,8380,cluster14
0,3,1,310,cluster2
0.64813,0,0,23300,cluster15
1.49762,4,1,8380,cluster14
0,3,1,310,cluster2
0.64813,0,0,23300,cluster15
1.49762,4,1,8380,cluster14
0,3,1,310,cluster2
0.486416,6,0,13400,cluster6
0.64813,0,0,23300,cluster15
0,3,1,310,cluster2
0.64813,0,0,23300,cluster15
0,3,1,310,cluster2
0.64813,0,0,23300,cluster15
0,3,1,310,cluster2
0.64813,0,0,23300,cluster15
0,3,1,310,cluster2
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
1.88038,3,1,9570,cluster4
1.88038,3,1,9570,cluster4
1.88038,3,1,9570,cluster4
1.88038,3,1,9570,cluster4
1.88038,3,1,9570,cluster4
0.548117,5,0,570,cluster7
0.548117,5,0,570,cluster7
2.0221,3,1,4540,cluster6
2.43197,2,1,14460,cluster6
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
0.007663,1,1,8300,cluster8
2.0221,3,1,4540,cluster6
2.06857,2,1,7380,cluster4
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
1.14898,1,1,13500,cluster19
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
1.14898,1,1,13500,cluster19
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
1.14898,1,1,13500,cluster19
1.84422,2,1,7340,cluster4
0.115101,6,0,6060,cluster11
1.14898,1,1,13500,cluster19
1.84422,2,1,7340,cluster4
0.047706,5,1,23300,cluster3
1.73577,2,1,8590,cluster4
1.84422,2,1,7340,cluster4
0.047706,5,1,23300,cluster3
1.73577,2,1,8590,cluster4
0.466982,6,0,1050,cluster7
1.84422,2,1,7340,cluster4
0.047706,5,1,23300,cluster3
1.73577,2,1,8590,cluster4
0.466982,6,0,1050,cluster7
1.84422,2,1,7340,cluster4
0.047706,5,1,23300,cluster3
1.73577,2,1,8590,cluster4
0.466982,6,0,1050,cluster7
0.047706,5,1,23300,cluster3
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
0.047706,5,1,23300,cluster3
0,4,1,19480,cluster8
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
1.6954,2,1,8000,cluster4
0.047706,5,1,23300,cluster3
0.085881,2,1,1430,cluster8
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
1.6954,2,1,8000,cluster4
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
1.6954,2,1,8000,cluster4
0.033166,0,0,22160,cluster8
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
1.6954,2,1,8000,cluster4
0.033166,0,0,22160,cluster8
2.14235,0,0,8030,cluster9
0.466982,6,0,1050,cluster7
1.6954,2,1,8000,cluster4
0,4,1,19470,cluster8
0.465816,5,0,5150,cluster14
1.6954,2,1,8000,cluster4
2.14235,0,0,8030,cluster9
1.6954,2,1,8000,cluster4
0,5,1,13040,cluster11
2.14235,0,0,8030,cluster9
1.6954,2,1,8000,cluster4
2.14235,0,0,8030,cluster9
1.97398,3,1,13540,cluster19
0,5,1,13030,cluster11
1.97398,3,1,13540,cluster19
0,5,1,13030,cluster11
1.432,4,1,2480,cluster14
0.281483,1,1,23170,cluster8
1.432,4,1,2480,cluster14
1.35562,1,1,14130,cluster19
1.432,4,1,2480,cluster14
1.35562,1,1,14130,cluster19
1.432,4,1,2480,cluster14
1.35562,1,1,14130,cluster19
1.95515,0,0,7510,cluster9
1.432,4,1,2480,cluster14
1.35562,1,1,14130,cluster19
1.95515,0,0,7510,cluster9
0.033503,6,0,9450,cluster11
1.35562,1,1,14130,cluster19
1.95515,0,0,7510,cluster9
0.033503,6,0,9450,cluster11
1.35562,1,1,14130,cluster19
1.35562,1,1,14130,cluster19
1.37965,4,1,2470,cluster14
1.35562,1,1,14130,cluster19
0.100684,6,0,9440,cluster11
1.37965,4,1,2470,cluster14
1.35562,1,1,14130,cluster19
