@relation mrgD3train-weka.filters.unsupervised.attribute.Remove-R2

@attribute refinedUse numeric
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.547249,0,16480,cluster17
0.2323,0,13410,cluster6
0.2323,0,13410,cluster6
1.6337,1,8100,cluster4
1.6277,1,8220,cluster4
0.133134,1,3370,cluster16
0.202824,1,23160,cluster3
2.66963,1,3470,cluster12
2.66963,1,3470,cluster12
1.58682,1,14270,cluster19
0.116349,1,3350,cluster16
0.525533,0,16470,cluster17
0.116349,1,3350,cluster16
1.74757,1,3240,cluster18
1.96608,1,4320,cluster19
0.500386,1,11540,cluster9
1.62737,1,7090,cluster19
1.62737,1,7090,cluster19
1.99528,1,14290,cluster19
1.53057,1,7460,cluster19
1.99528,1,14290,cluster19
2.32333,1,12490,cluster5
1.99528,1,14290,cluster19
0.126284,1,15150,cluster11
0.534334,0,510,cluster7
2.00715,1,3270,cluster18
1.6409,1,8400,cluster4
1.85635,1,10300,cluster19
1.24378,1,480,cluster3
0.186767,0,23290,cluster3
1.86765,1,3290,cluster12
2.24792,1,13020,cluster5
2.00715,1,3270,cluster18
0.623449,0,1060,cluster7
0.123699,1,3380,cluster16
0.402617,0,8140,cluster6
2.02042,1,8050,cluster4
0.5051,1,15440,cluster3
2.20145,1,340,cluster17
0.460349,0,150,cluster15
0.460349,0,150,cluster15
1.52885,0,7560,cluster9
1.52885,0,7560,cluster9
0.10937,0,10140,cluster15
0.512783,0,8470,cluster7
0.133134,1,3370,cluster16
0.046583,1,8160,cluster11
0.321771,0,9330,cluster15
0.525767,1,12480,cluster9
0.019836,0,10100,cluster15
0.405568,0,1000,cluster7
0.405568,0,1000,cluster7
1.96588,0,16530,cluster17
0.31747,0,10060,cluster15
0.31747,0,10060,cluster15
1.96588,0,16530,cluster17
0.534449,1,12380,cluster9
0,0,9270,cluster15
0.123699,1,3380,cluster16
0.293833,1,16110,cluster6
0.293833,1,16110,cluster6
1.49645,1,2340,cluster18
1.9948,1,6470,cluster5
0.340223,0,9320,cluster15
0.123699,1,3380,cluster16
1.62737,1,7090,cluster19
1.11838,1,3370,cluster12
1.87387,1,13240,cluster19
0.100883,1,16060,cluster3
1.96588,0,16530,cluster17
0.100883,1,16060,cluster3
1.74757,1,3240,cluster18
1.64692,1,8210,cluster4
0.181666,1,4280,cluster11
0,1,8530,cluster11
0,1,8530,cluster11
1.62737,1,7090,cluster19
1.53852,0,18300,cluster17
1.12917,1,3410,cluster12
0.423301,0,16510,cluster17
0.423301,0,16510,cluster17
1.09745,1,3590,cluster18
1.09745,1,3590,cluster18
0.539416,0,490,cluster7
1.09745,1,3590,cluster18
0.539416,0,490,cluster7
1.81857,1,4410,cluster19
1.07012,1,4450,cluster9
0.465251,1,12420,cluster9
2.32333,1,12490,cluster5
0.43255,1,11570,cluster16
2.38137,1,4340,cluster19
1.34113,1,3560,cluster18
1.85635,1,10300,cluster19
1.70655,1,9590,cluster4
0.194316,1,21270,cluster6
0.742533,0,5460,cluster18
0.611237,1,12070,cluster9
0.611237,1,12070,cluster9
2.85217,0,8360,cluster5
0.133134,1,3370,cluster16
0.53285,0,100,cluster15
0.698716,1,23460,cluster6
0.133134,1,3370,cluster16
0.53285,0,100,cluster15
0.698716,1,23460,cluster6
0.460349,0,150,cluster15
0.460349,0,150,cluster15
1.21342,1,3380,cluster12
2.66963,1,3470,cluster12
0,1,5490,cluster11
0.166334,0,18390,cluster17
2.04855,1,8060,cluster4
3.0168,0,8290,cluster5
2.04855,1,8060,cluster4
0.498773,0,10080,cluster15
0.498773,0,10080,cluster15
0.10937,0,10140,cluster15
0.658766,0,170,cluster7
0.350203,1,11430,cluster15
0,1,18460,cluster11
0.7926,0,4550,cluster18
0.128217,1,3360,cluster16
0.971267,1,1000,cluster6
0.37005,0,16410,cluster17
1.75885,1,8290,cluster4
0.525767,1,12480,cluster9
1.98493,1,3330,cluster18
0.41817,1,13300,cluster6
2.65525,1,14270,cluster5
0.332334,1,15420,cluster3
1.6015,1,13520,cluster19
0.332334,1,15420,cluster3
1.1684,1,7050,cluster19
0.204513,1,11510,cluster15
0.702683,0,570,cluster7
0.059616,1,9210,cluster11
1.63555,1,8550,cluster18
0.43255,1,11570,cluster16
0,1,9250,cluster11
0,1,9250,cluster11
1.9948,1,6470,cluster5
0.965653,0,10070,cluster15
1.9948,1,6470,cluster5
2.7075,1,3520,cluster12
0,1,18110,cluster6
2.7075,1,3520,cluster12
1.72198,1,1170,cluster18
1.68573,1,13140,cluster5
1.9536,1,12580,cluster5
0.268651,0,4520,cluster18
1.9536,1,12580,cluster5
0.268651,0,4520,cluster18
1.68573,1,13140,cluster5
0.183034,1,16040,cluster3
1.83238,1,9370,cluster4
0.914834,1,1020,cluster3
1.87387,1,13240,cluster19
1.09204,1,23270,cluster3
2.02532,1,12360,cluster5
0.139856,0,9230,cluster15
