@relation total.onoff-weka.filters.unsupervised.attribute.Remove-R28_clustered-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R17_clustered-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute '03:OfficeOutlets* [kVA]' {0,1} 
@attribute '04:LivingRoomOutlets* [kVA]' {0,1}
@attribute '05:GuestBathOutlets* [kVA]' {0,1}
@attribute '06:MasterBathOutlets* [kVA]' {0,1}
@attribute '07:LivingRoomPatioLights* [kVA]' {0,1}
@attribute '08:GuestBathHallLights* [kVA]' {0,1}
@attribute '09:DiningRoomOutlets* [kVA]' {0,1}
@attribute '10:OutsideOutlets* [kVA]' {0,1}
@attribute '11:CellarLights* [kVA]' {0,1}
@attribute '14:WashingMachine* [kVA]' {0,1}
@attribute '16:DisposalDishwasher* [kVA]' {0,1}
@attribute '17:Microwave* [kVA]' {0,1}
@attribute '18:KitchenLights* [kVA]' {0,1}
@attribute '19:BedroomOutlets* [kVA]' {0,1}
@attribute '20:BedroomLights* [kVA]' {0,1}
@attribute '21:MasterOutlets* [kVA]' {0,1}
@attribute '22:MasterLights* [kVA]' {0,1}
@attribute '24:CounterOutlets1* [kVA]' {0,1}
@attribute '25:CounterOutlets2* [kVA]' {0,1}
@attribute '26:KitchenOutlets* [kVA]' {0,1}

@data
0,235900,2.53272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235800,2.52357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235700,2.52583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235600,2.69608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235500,2.79227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235400,2.79813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235300,2.79935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235200,2.81073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235100,2.81043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235000,2.82643,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,234900,2.61968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,234800,1.26753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234700,1.14518,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234600,1.15867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234500,1.2832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234400,1.28223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234300,1.27962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234200,1.2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,234100,1.16837,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234000,1.11905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,233900,1.13163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233800,1.2756,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233700,1.28307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233600,1.56262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233500,1.72872,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
0,233400,3.0578,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,233300,3.06708,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,233200,3.05628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,233100,1.61145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,233000,1.5315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,232900,1.55572,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232800,1.72473,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232700,1.89758,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232600,1.93123,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232500,1.86318,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232400,1.77397,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232300,1.75107,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232200,1.67383,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232100,1.68528,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,232000,1.68768,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231900,1.69357,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231800,1.71038,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231700,1.75002,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231600,1.81853,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231500,1.5349,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231400,1.2156,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231300,1.14155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231200,1.13463,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231100,1.12053,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,231000,1.07357,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230900,0.69765,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230800,0.695317,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230700,0.66915,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230600,0.599133,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230500,0.610867,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,230400,0.71785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,230300,0.631267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,230200,0.54065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,230100,0.595667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,230000,0.593533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225900,0.59425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225800,0.5952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225700,0.59465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225600,0.617417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225500,0.6259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225400,0.6316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225300,0.68985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225200,0.705583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225100,0.7067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,225000,0.696017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,224900,0.689467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,224800,0.6851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,224700,0.679617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,224600,0.690883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
