@relation total.ref.onoff-weka.filters.unsupervised.attribute.Remove-R3

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute '03:OfficeOutlets* [kVA]' {0,1}
@attribute '04:LivingRoomOutlets* [kVA]'{0,1}
@attribute '05:GuestBathOutlets* [kVA]' {0,1}
@attribute '06:MasterBathOutlets* [kVA]'{0,1}
@attribute '07:LivingRoomPatioLights* [kVA]'{0,1}
@attribute '08:GuestBathHallLights* [kVA]'{0,1}
@attribute '09:DiningRoomOutlets* [kVA]' {0,1}
@attribute '10:OutsideOutlets* [kVA]' {0,1}
@attribute '11:CellarLights* [kVA]' {0,1}
@attribute '14:WashingMachine* [kVA]'{0,1}
@attribute '16:DisposalDishwasher* [kVA]'{0,1}
@attribute '17:Microwave* [kVA]'{0,1}
@attribute '18:KitchenLights* [kVA]'{0,1}
@attribute '19:BedroomOutlets* [kVA]'{0,1}
@attribute '20:BedroomLights* [kVA]'{0,1}
@attribute '21:MasterOutlets* [kVA]'{0,1}
@attribute '22:MasterLights* [kVA]'{0,1}
@attribute '24:CounterOutlets1* [kVA]'{0,1}
@attribute '25:CounterOutlets2* [kVA]'{0,1}
@attribute '26:KitchenOutlets* [kVA]'{0,1}

@data
0,235900,1.48836,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235800,1.40703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235700,1.19212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235600,1.33967,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235500,1.42939,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235400,1.43537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235300,1.43445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235200,1.4581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235100,1.43568,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,235000,1.4547,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,234900,1.40702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,234800,0.059296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234500,0.087983,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234400,0.086063,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234300,0.094473,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234200,0.101903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,234100,0.075503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,234000,0.026023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,233900,0.038066,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233800,0.106799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,233500,0.148243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
