Day,Time,'25:CounterOutlets2* [kVA]','24:CounterOutlets1* [kVA]','26:KitchenOutlets* [kVA]','use [kW]_y','01:Grid* [kVA]','02:Dryer* [kVA]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','12:FurnaceHRV* [kVA]','13:CellarOutlets* [kVA]','14:WashingMachine* [kVA]','15:FridgeRange* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','23:DuctHeaterHRV* [kVA]'
0,235900,0.012667,0.00825,0.012083,2.532717,2.888517,0.01325,0.060333,0.084367,0.001617,0.00415,0.00885,0.0142,0.01765,0.001333,0.003967,0.731683,0.014317,0.0131,0.1903,1.54655,0.002783,0.007617,0.022117,0.010217,0.06645,0.043967,0.094817
0,235800,0.012617,0.008183,0.012067,2.523567,2.877617,0.013467,0.060267,0.08505,0.0016,0.004117,0.008833,0.01415,0.017467,0.001317,0.00395,0.72945,0.075783,0.01335,0.190983,1.54225,0.002817,0.007617,0.022167,0.010317,0.066633,0.043817,0.106867
0,235700,0.012583,0.008183,0.012017,2.525833,2.883117,0.01395,0.060933,0.087217,0.0016,0.003967,0.00885,0.014167,0.0172,0.001333,0.003933,0.879183,0.128583,0.013383,0.191267,1.544383,0.0028,0.007633,0.02215,0.010283,0.066583,0.04385,0.120733
0,235600,0.0126,0.00815,0.011983,2.696083,3.066083,0.014017,0.061167,0.087683,0.001617,0.00395,0.00895,0.014133,0.0172,0.001333,0.003983,0.899333,0.128717,0.01335,0.191967,1.545283,0.002783,0.0076,0.022117,0.010283,0.066533,0.043883,0.122383
0,235500,0.012617,0.008133,0.011967,2.792267,3.1651,0.014033,0.061083,0.0876,0.001617,0.003917,0.009017,0.014083,0.017233,0.00125,0.003983,0.899233,0.128867,0.013367,0.193867,1.546067,0.0028,0.007617,0.022117,0.0103,0.066517,0.0439,0.126883
0,235400,0.0126,0.00815,0.011983,2.798133,3.171933,0.014067,0.061,0.0874,0.001617,0.0039,0.009033,0.014083,0.017267,0.00125,0.004,0.9001,0.1291,0.01335,0.196567,1.547333,0.002783,0.007617,0.022117,0.0103,0.0665,0.04395,0.122933
0,235300,0.01265,0.00815,0.011983,2.79935,3.172367,0.014,0.061217,0.08755,0.0016,0.003917,0.009033,0.014083,0.017283,0.00125,0.004,0.90175,0.129317,0.0133,0.197633,1.549517,0.002783,0.007617,0.022133,0.010283,0.066467,0.04405,0.12225
0,235200,0.01265,0.008167,0.012,2.810733,3.18545,0.014,0.061017,0.086933,0.0016,0.00395,0.00905,0.0141,0.017317,0.001267,0.003983,0.90495,0.129617,0.013267,0.197783,1.552933,0.002767,0.007633,0.022167,0.010267,0.0665,0.044133,0.106283
0,235100,0.012717,0.008183,0.012067,2.810433,3.184867,0.013967,0.060833,0.0869,0.001617,0.003933,0.009033,0.014083,0.017317,0.00125,0.004017,0.9123,0.1301,0.0132,0.198683,1.559783,0.002783,0.007667,0.022267,0.0103,0.066667,0.044333,0.11975
0,235000,0.012767,0.008033,0.01175,2.826433,3.20565,0.013933,0.060883,0.0864,0.0016,0.003983,0.00905,0.01415,0.01735,0.00125,0.004,0.911067,0.13115,0.0132,0.202267,0.669217,0.003583,0.0079,0.021867,0.010633,0.066267,0.044917,0.113317
0,234900,0.013,0.006317,0.007367,2.619683,2.980767,0.0141,0.060817,0.08615,0.001617,0.003933,0.0091,0.014133,0.017367,0.001267,0.004017,0.744217,0.13185,0.013117,0.204733,0.02895,0.004183,0.008083,0.0216,0.010867,0.0661,0.04535,0.117767
0,234800,0.013033,0.006317,0.007283,1.267533,1.50745,0.014667,0.061217,0.085633,0.001617,0.003733,0.00925,0.014,0.017417,0.001283,0.004033,0.734617,0.131867,0.013117,0.204183,0.117533,0.004067,0.00805,0.02165,0.01085,0.066217,0.04525,0.12295
0,234700,0.012983,0.00635,0.00735,1.145183,1.382717,0.0145,0.06115,0.085717,0.001633,0.003817,0.009167,0.014017,0.0174,0.001333,0.004017,0.735433,0.132083,0.013067,0.204183,0.12525,0.004067,0.008067,0.02165,0.010833,0.066167,0.0453,0.12175
0,234600,0.013,0.0064,0.007733,1.158667,1.392917,0.014467,0.061233,0.0857,0.001633,0.003833,0.00915,0.014033,0.01745,0.001333,0.004033,0.73485,0.131983,0.013117,0.203783,0.197283,0.004,0.008017,0.0217,0.0108,0.066117,0.045167,0.118717
0,234500,0.012967,0.0064,0.00775,1.2832,1.53175,0.014367,0.06105,0.0859,0.001617,0.00385,0.00915,0.014033,0.01745,0.00135,0.004017,0.733683,0.131967,0.013067,0.204,0.197067,0.003983,0.008017,0.02165,0.0108,0.066133,0.045117,0.11125
0,234400,0.01295,0.0064,0.007733,1.282233,1.53015,0.014367,0.061183,0.085783,0.001633,0.003867,0.009117,0.014017,0.017467,0.001333,0.004017,0.731683,0.131917,0.013133,0.204,0.196867,0.004,0.008017,0.021617,0.010783,0.066083,0.045033,0.11425
0,234300,0.01295,0.0064,0.007717,1.279617,1.525933,0.014333,0.061183,0.08575,0.001617,0.00385,0.009133,0.014,0.017467,0.00135,0.004,0.730467,0.131967,0.013167,0.2039,0.186917,0.003983,0.008,0.021617,0.0108,0.066133,0.045,0.104483
0,234200,0.0129,0.006367,0.007433,1.2771,1.521533,0.0144,0.061383,0.08605,0.001633,0.00385,0.009117,0.014,0.017433,0.001333,0.004017,0.729367,0.132333,0.0131,0.204467,0.028633,0.004133,0.00805,0.0215,0.010833,0.065967,0.045067,0.094633
0,234100,0.012967,0.006333,0.00725,1.168367,1.398133,0.014467,0.061233,0.086083,0.001617,0.003833,0.009133,0.013983,0.01745,0.001333,0.004017,0.731833,0.1326,0.013083,0.204267,0.110033,0.00405,0.008033,0.021583,0.0108,0.066,0.045083,0.00975
0,234000,0.01295,0.006367,0.007383,1.11905,1.344367,0.0144,0.061617,0.085733,0.001633,0.003833,0.009133,0.01395,0.017467,0.001317,0.004017,0.732483,0.132817,0.01305,0.203567,0.120683,0.004067,0.008017,0.0216,0.02475,0.066017,0.045083,0.009767
0,233900,0.0129,0.00645,0.007783,1.131633,1.349633,0.014367,0.061267,0.085583,0.001633,0.003817,0.00915,0.013983,0.0175,0.001333,0.004017,0.729967,0.1327,0.0131,0.2068,0.198883,0.003967,0.007983,0.021633,0.033533,0.066017,0.044917,0.009733
0,233800,0.012883,0.006433,0.007783,1.2756,1.5074,0.014267,0.06125,0.0857,0.001617,0.003267,0.0091,0.014,0.017483,0.00135,0.004017,0.73345,0.132817,0.0131,0.107267,0.19905,0.003917,0.00785,0.0215,0.033933,0.0659,0.045067,0.1818
0,233700,0.013083,0.006133,0.007033,1.283067,1.517533,0.014333,0.06135,0.085883,0.001633,0.002717,0.0091,0.01395,0.017483,0.001333,0.004017,0.757217,0.13325,0.0131,0.008933,0.1995,0.003833,0.007683,0.02135,0.03425,0.065767,0.045433,0.665833
0,233600,0.013133,0.006033,0.006717,1.562617,1.845683,0.014533,0.06155,0.085733,0.001617,0.002717,0.009167,0.0139,0.017433,0.001317,0.004017,0.761417,0.1328,0.013133,0.007767,0.920267,0.003233,0.007517,0.021683,0.033883,0.06605,0.044967,0.661867
0,233500,0.012667,0.007467,0.01085,1.728717,2.032367,0.014567,0.06165,0.0857,0.001633,0.003017,0.009167,0.013867,0.01745,0.001283,0.004017,0.764633,0.13225,0.013167,0.006867,1.5604,0.002683,0.00735,0.022083,0.068317,0.06655,0.044567,0.662167
0,233400,0.01265,0.00755,0.011083,3.0578,3.4942,0.0139,0.061183,0.08635,0.001617,0.003283,0.008933,0.01405,0.017367,0.00135,0.003983,0.763317,0.132583,0.013167,0.006917,1.5607,0.002683,0.007367,0.02195,0.0188,0.0666,0.0446,0.671183
0,233300,0.012667,0.007483,0.0109,3.067083,3.505183,0.013883,0.0612,0.0866,0.001617,0.0033,0.008933,0.014067,0.017383,0.001367,0.003983,0.760117,0.133433,0.01315,0.007983,0.9114,0.00325,0.007533,0.021617,0.010633,0.065,0.045017,0.678317
0,233200,0.0131,0.006117,0.00675,3.056283,3.494617,0.0139,0.0758,0.0866,0.001617,0.003283,0.008967,0.014033,0.01735,0.00135,0.004,0.75635,0.134433,0.013167,0.00925,0.030433,0.003967,0.02245,0.02125,0.010967,0.054967,0.045567,0.663717
0,233100,0.013233,0.005917,0.006217,1.61145,1.926367,0.0147,0.09415,0.086183,0.001633,0.002983,0.009233,0.013883,0.017383,0.0013,0.004017,0.753533,0.134633,0.013167,0.009383,0.031983,0.004033,0.020867,0.02125,0.010983,0.053167,0.045567,0.67895
0,233000,0.013183,0.005917,0.006067,1.5315,1.823383,0.014767,0.078483,0.094017,0.001617,0.00295,0.0093,0.026883,0.017517,0.001267,0.004033,0.753567,0.135017,0.013167,0.009333,0.031933,0.003983,0.007733,0.021217,0.01095,0.053167,0.04555,0.684383
0,232900,0.01315,0.005917,0.006233,1.555717,1.849883,0.014833,0.059917,0.10825,0.001633,0.0029,0.009317,0.053833,0.017467,0.001283,0.004033,0.752267,0.134967,0.013217,0.054483,0.0318,0.003917,0.21755,0.021217,0.010883,0.053317,0.045333,0.6707
0,232800,0.013033,0.006,0.0067,1.724733,2.027,0.0148,0.060017,0.194017,0.001617,0.003,0.0091,0.013883,0.017483,0.001267,0.004017,0.7503,0.135167,0.01325,0.009117,0.031717,0.00385,0.25965,0.021167,0.010867,0.05335,0.045183,0.6662
