"Date & Time","use [kW]","gen [kW]","12:FurnaceHRV [kW]","12:FurnaceHRV* [kVA]","13:CellarOutlets [kW]","13:CellarOutlets* [kVA]","14:WashingMachine [kW]","14:WashingMachine* [kVA]","15:FridgeRange [kW]","15:FridgeRange* [kVA]","16:DisposalDishwasher [kW]","16:DisposalDishwasher* [kVA]","17:Microwave [kW]","17:Microwave* [kVA]","18:KitchenLights [kW]","18:KitchenLights* [kVA]","19:BedroomOutlets [kW]","19:BedroomOutlets* [kVA]","20:BedroomLights [kW]","20:BedroomLights* [kVA]","21:MasterOutlets [kW]","21:MasterOutlets* [kVA]","22:MasterLights [kW]","22:MasterLights* [kVA]","23:DuctHeaterHRV [kW]","23:DuctHeaterHRV* [kVA]"
2014-06-14 23:59:00,-0.000000000,-0.000000000,-0.047466667,0.069433333,-0.003116667,0.014666667,-0.005533333,0.013233333,-0.006016667,0.009350000,-0.005866667,0.032083333,-0.003216667,0.004000000,-0.003466667,0.008066667,-0.082433333,0.083083333,-0.005333333,0.011133333,-0.116900000,0.120450000,-0.010666667,0.045650000,-0.455300000,0.618516667
2014-06-14 23:58:00,-0.000000000,-0.000000000,-0.047466667,0.069416667,-0.003116667,0.014650000,-0.005533333,0.013250000,-0.005966667,0.009283333,-0.005850000,0.032050000,-0.003233333,0.004000000,-0.003500000,0.008083333,-0.082416667,0.083066667,-0.005300000,0.011150000,-0.117133333,0.120716667,-0.010616667,0.045600000,-0.447833333,0.619233333
2014-06-14 23:57:00,-0.000000000,-0.000000000,-0.047433333,0.069316667,-0.003150000,0.014650000,-0.005516667,0.013233333,-0.006066667,0.009350000,-0.005866667,0.032000000,-0.003216667,0.003983333,-0.003466667,0.008100000,-0.082333333,0.082983333,-0.005316667,0.011183333,-0.117350000,0.120983333,-0.010716667,0.045583333,-0.472500000,0.650316667
2014-06-14 23:56:00,-0.000000000,-0.000000000,-0.047400000,0.069216667,-0.003133333,0.014633333,-0.005533333,0.013233333,-0.006016667,0.009266667,-0.005850000,0.031966667,-0.003216667,0.003966667,-0.003466667,0.008083333,-0.082200000,0.082850000,-0.005300000,0.011183333,-0.117483333,0.121133333,-0.010700000,0.045516667,-0.467066667,0.645166667
2014-06-14 23:55:00,-0.000000000,-0.000000000,-0.047416667,0.069300000,-0.003133333,0.014633333,-0.005533333,0.013216667,-0.006016667,0.009283333,-0.005866667,0.031966667,-0.003216667,0.003983333,-0.003466667,0.008083333,-0.082250000,0.082900000,-0.005300000,0.011166667,-0.117900000,0.121583333,-0.010716667,0.045533333,-0.470050000,0.647866667
2014-06-14 23:54:00,-0.000000000,-0.000000000,-0.047400000,0.069183333,-0.003133333,0.014600000,-0.005516667,0.013250000,-0.006050000,0.009333333,-0.005866667,0.031900000,-0.003200000,0.003966667,-0.003450000,0.008050000,-0.082016667,0.082666667,-0.005300000,0.011150000,-0.117916667,0.121633333,-0.010716667,0.045416667,-0.477100000,0.642066667
2014-06-14 23:53:00,-0.000000000,-0.000000000,-0.047383333,0.069166667,-0.003150000,0.014583333,-0.005516667,0.013266667,-0.006066667,0.009333333,-0.005933333,0.031866667,-0.003200000,0.003966667,-0.003400000,0.008033333,-0.081850000,0.082500000,-0.005333333,0.011133333,-0.117633333,0.121316667,-0.010950000,0.045400000,-0.536183333,0.700116667
2014-06-14 23:52:00,-0.000000000,-0.000000000,-0.049200000,0.072133333,-0.003133333,0.014583333,-0.005516667,0.013266667,-0.006150000,0.009366667,-0.006000000,0.031833333,-0.003166667,0.003933333,-0.003316667,0.008000000,-0.081700000,0.082333333,-0.005333333,0.011133333,-0.117516667,0.121216667,-0.011166667,0.045383333,-0.592283333,0.706116667
2014-06-14 23:51:00,-0.000000000,-0.000000000,-0.017816667,0.037250000,-0.003083333,0.014516667,-0.005516667,0.013316667,-0.005233333,0.008566667,-0.005183333,0.031733333,-0.003283333,0.004066667,-0.003966667,0.008200000,-0.082450000,0.083116667,-0.005183333,0.011033333,-0.118566667,0.122266667,-0.008783333,0.044866667,-0.022016667,0.096716667
2014-06-14 23:50:00,-0.000000000,-0.000000000,-0.017866667,0.037666667,-0.003083333,0.014566667,-0.005516667,0.013316667,-0.005216667,0.008600000,-0.005200000,0.031833333,-0.003300000,0.004066667,-0.003950000,0.008183333,-0.082716667,0.083366667,-0.005200000,0.011033333,-0.118816667,0.122516667,-0.008816667,0.045016667,-0.022350000,0.091700000
