@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1,62900,1.00365,cluster9
0,221200,0.497233,cluster8
1,14800,1.073233,cluster13
1,221500,1.396367,cluster4
1,235200,2.968017,cluster5
1,74300,1.076817,cluster12
0,93300,6.2065,cluster17
0,224400,0.689067,cluster8
0,222800,0.597117,cluster8
1,60800,0.625333,cluster6
1,213600,0.823067,cluster9
1,205600,0.627867,cluster4
1,182400,1.658217,cluster2
1,54700,0.55165,cluster6
1,185600,1.04005,cluster9
1,30200,0.938917,cluster19
1,125100,0.585833,cluster11
1,115400,0.551933,cluster11
1,215800,0.820583,cluster3
1,62100,0.64795,cluster6
1,213300,1.213433,cluster4
0,122700,0.68085,cluster8
1,141500,0.328033,cluster11
1,192100,0.971467,cluster3
0,91800,1.373333,cluster7
1,45300,0.405367,cluster11
0,113700,2.25705,cluster8
1,100800,1.016267,cluster19
1,93200,0.6501,cluster11
1,1200,1.593967,cluster13
1,12500,1.58,cluster13
0,154400,1.477,cluster7
1,34300,0.531117,cluster11
1,123500,1.089283,cluster0
1,72400,2.1008,cluster2
1,100800,0.925933,cluster16
1,24700,1.208483,cluster13
0,131600,0.957867,cluster14
0,115000,1.2028,cluster8
1,161500,1.66445,cluster5
1,35700,0.420483,cluster11
0,10300,3.03025,cluster1
1,32100,0.64665,cluster6
0,141900,1.067117,cluster14
0,225300,0.89945,cluster8
1,203200,1.464583,cluster4
0,104700,1.224867,cluster18
1,152400,1.028517,cluster2
1,85500,1.531183,cluster19
1,30400,0.858533,cluster13
1,95400,1.05935,cluster19
1,42900,1.070933,cluster6
1,144400,1.267017,cluster12
1,113300,1.0855,cluster19
1,113100,1.26375,cluster19
0,142800,0.471,cluster8
1,64400,0.701117,cluster6
0,83100,1.383583,cluster18
1,54300,0.520417,cluster11
1,214000,0.831167,cluster9
0,65400,1.4446,cluster15
